feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Actinomyces	age	age	0.0666883320381356	0.0149132042468278	4101	1612	7.97028550668752e-06	3.78588561567657e-05
Desulfovibrio	age	age	0.0765866314512056	0.0176092485974226	4101	1182	1.40103928291712e-05	6.33803485129173e-05
Simpson	age	age	0.0626707284718525	0.0149464469599978	4101	2805	2.81080004601269e-05	0.000121375456532366
Ruminococcus	age	age	0.0680960399635105	0.0170629982084486	4101	2797	6.70654998814944e-05	0.000277009673423564
Aeriscardovia	age	age	-0.0517873802081687	0.0134155886719133	4101	925	0.000115030701726135	0.000455329860999283
Butyricimonas	age	age	0.0600573372661022	0.0160218864280967	4101	1923	0.000180396156394972	0.000685505394300893
Flavonifractor	age	age	-0.0577372516050527	0.0154930486149683	4101	2564	0.000196653250896158	0.00071854072442827
Klebsiella	age	age	0.0486783299592361	0.0141335415060661	4101	788	0.000578558222655462	0.0020356678204544
Agathobaculum	age	age	0.0544631147667024	0.0160486975367409	4101	2747	0.000696335637585514	0.00216481768058906
Mediterraneibacter	age	age	-0.0525643981737572	0.0154866163950123	4101	2595	0.000694873046222056	0.00216481768058906
Megamonas	age	age	-0.057900493462262	0.0170401065795199	4101	445	0.000685590172590224	0.00216481768058906
Rothia	age	age	0.0595549087987262	0.0175651071214314	4101	957	0.000706414190508009	0.00216481768058906
Faecalitalea	age	age	0.0590054028976469	0.0174828707112946	4101	544	0.000747233957848973	0.00221835081236414
Erysipelatoclostridium	age	age	-0.0540162066557526	0.0169824154170119	4101	1889	0.0014801275990843	0.00426097339130328
Ligilactobacillus	age	age	0.0511284028587754	0.0162685094795108	4101	650	0.00168545405047234	0.00470935690573154
Veillonella	age	age	0.0481345248571701	0.0169286047033541	4101	1783	0.0044866182560512	0.0121779638378532
Lactobacillus	age	age	0.0487292508547623	0.0175794014945917	4101	2025	0.00559895270393503	0.0147750140798286
Turicimonas	age	age	-0.0434584834804982	0.016551931977149	4101	1016	0.00868233984733095	0.0222924942026065
Intestinimonas	age	age	0.0426866083420038	0.0164068276025029	4101	1641	0.00930842079233129	0.0232710519808282
Coprococcus	age	age	0.0401723491174227	0.0155063910307939	4101	2884	0.00961220885935181	0.0234143549138057
Eggerthella	age	age	-0.0443977358854202	0.0172345125971201	4101	1828	0.0100277432201214	0.0238158901477883
Parasutterella	age	age	-0.0396745520950889	0.015559680649194	4101	1873	0.0108136740859738	0.0250560741016465
Holdemanella	age	age	0.0420538484797843	0.0166898443767136	4101	1689	0.0117824384396857	0.0266507536135748
Anaerostipes	age	age	-0.0310768054859985	0.0126332171829542	4101	2684	0.0139375284180689	0.0307922139468965
Phocaeicola	age	age	-0.0338665080124195	0.0139311268224589	4101	2686	0.0151000447309629	0.032602369305488
Blautia	age	age	-0.0302621529713861	0.0128640778408511	4101	2425	0.0186970583634376	0.0393116759765646
Ruthenibacterium	age	age	0.034773632555316	0.0148239592760029	4101	2699	0.0190351273149681	0.0393116759765646
Anaerobutyricum	age	age	-0.0297294120030809	0.0128161446183887	4101	2759	0.020406890440648	0.0412479700396076
Escherichia	age	age	0.0363953887486974	0.0159605904078449	4101	2191	0.0226394144497998	0.0429464499571094
Eubacterium	age	age	0.039262884721204	0.0172488648996192	4101	2474	0.0228825818064387	0.0429464499571094
Lachnospira	age	age	0.0383376085132964	0.0168636916554008	4101	2704	0.0230554626085535	0.0429464499571094
Turicibacter	age	age	-0.0396775477128825	0.0173569769885218	4101	1622	0.0223103543133528	0.0429464499571094
Lacrimispora	age	age	-0.0388665581063001	0.017705024816176	4101	544	0.0282086740568442	0.0515350776038499
Sellimonas	age	age	-0.0356796259498678	0.0177038750022053	4101	556	0.0439416817959594	0.0787633918984179
Holdemania	age	age	0.0339279204102632	0.0169347057220075	4101	1362	0.0451947884055331	0.0795093499726971
Enorma	age	age	0.0232090330594463	0.0127411736577319	4101	1756	0.0685920059497772	0.118477101185979
Schaalia	age	age	0.0285305790642602	0.0160216939365175	4101	1319	0.0750295675593249	0.127282302109569
Mitsuokella	age	age	0.0294240986614527	0.0167579195615175	4101	449	0.0791921451981124	0.131986908663521
Megasphaera	age	age	0.0288900142603655	0.0166137424302132	4101	501	0.0821237353579175	0.134513014810382
Gemella	age	age	0.0288911937449809	0.0168708961122904	4101	749	0.0868830699171036	0.139896468510591
Alistipes	age	age	0.024539372397128	0.0146276696512308	4101	2847	0.0935015608131547	0.148044137954162
Fusicatenibacter	age	age	-0.0228948466196743	0.0140500329126779	4101	2712	0.103279281709862	0.160844782990768
Coprobacter	age	age	0.0216150035786373	0.0154896310032399	4101	1678	0.162956069491124	0.249690751639626
Dorea	age	age	-0.0194373551886808	0.0144359736342197	4101	2693	0.178231025111051	0.260491498239229
Lactococcus	age	age	0.0235591420014643	0.0174541810963023	4101	934	0.177165646020037	0.260491498239229
Monoglobus	age	age	0.023692529311904	0.0175172968333	4101	770	0.176292956309253	0.260491498239229
Hungatella	age	age	-0.0227764940501126	0.0173296911502091	4101	648	0.188819436469981	0.27178555249467
Enterocloster	age	age	-0.0201287332706765	0.0155990771091699	4101	1633	0.196991704408169	0.277040654496629
Prevotella	age	age	0.0208566026136557	0.0162104975349248	4101	2193	0.198302784271271	0.277040654496629
Paraprevotella	age	age	0.0214714635988475	0.0177681675651887	4101	1254	0.226963174892693	0.312485530649359
Christensenella	age	age	-0.0209642850934711	0.017558142086369	4101	486	0.23255514074735	0.315534750193081
Gemmiger	age	age	0.0198534167083903	0.0167444190378495	4101	2805	0.23582070803904	0.315534750193081
Enterococcus	age	age	0.0195437054965931	0.017394183328637	4101	554	0.261259262863983	0.339994931124361
Intestinibacter	age	age	0.0187946327177011	0.0167261209677164	4101	2285	0.261219524460034	0.339994931124361
