feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY5484	Age	Age	0.179225613227691	0.0435685057455886	573	378	9.77559100319964e-05	0.000918207297800538
PWY6901	Age	Age	0.188402860650506	0.0467168838200569	573	371	0.000108897621276044	0.000966170959843627
PWY7560	Age	Age	0.199371033441517	0.0493129537416182	573	380	0.000110209615191288	0.000966170959843627
PWY6270	Age	Age	0.199255739097828	0.049477361684147	573	383	0.000115189356266303	0.00097725163542057
COAPWY	Age	Age	0.18332404083868	0.0456148111895876	573	288	0.000118949444739693	0.000977615748954351
GALACTUROCATPWY	Age	Age	-0.200820197317773	0.0505394086703531	573	352	0.000133945178578476	0.00100650234188969
GLUCUROCATPWY	Age	Age	-0.204852155059457	0.0510951954460881	573	342	0.000128063575944171	0.00100650234188969
RIBOSYN2PWY	Age	Age	-0.183793444956697	0.0460133527040217	573	353	0.000131937455100443	0.00100650234188969
PWY6123	Age	Age	0.203279797956913	0.0515208449390535	573	289	0.000171060290170225	0.00118691422249597
PWY6124	Age	Age	0.207152293605227	0.0524963039653833	573	290	0.000169060809322979	0.00118691422249597
PWY01261	Age	Age	0.162431651665176	0.0410213431077582	573	81	0.000171493309714246	0.00118691422249597
GLYCOGENSYNTHPWY	Age	Age	-0.190710050880724	0.0489564535776936	573	322	0.000213603314625942	0.00144045312170828
PWY6143	Age	Age	-0.186295529354065	0.0486548369075116	573	355	0.00022334010758852	0.00146846120739452
PWY7356	Age	Age	-0.185659735877816	0.0490455045100374	573	343	0.000275488183576987	0.00176715590928653
PWY8131	Age	Age	-0.182311456994419	0.0473269700847662	573	278	0.000287541738648469	0.00180055898248922
CENTFERMPWY	Age	Age	-0.184259268185207	0.0492292145647884	573	378	0.0002991209463195	0.00182950718330299
GALACTGLUCUROCATPWY	Age	Age	-0.193624458415285	0.0516204541585475	573	368	0.000326975028253709	0.00195441891888012
PWY6590	Age	Age	-0.182423863627241	0.0493091047813731	573	378	0.000347779777434187	0.00203257958811536
ARGSYNPWY	Age	Age	-0.175619140992882	0.0474438972557753	573	316	0.000394861408476961	0.00207697100858881
PWY6282	Age	Age	0.154415945639832	0.0413348102004196	573	161	0.00037699166449271	0.00207697100858881
PWY6749	Age	Age	-0.179086566867538	0.0485768142581338	573	394	0.000392566118805588	0.00207697100858881
PWY7664	Age	Age	0.154353003729371	0.0413974714028141	573	161	0.000385510173198511	0.00207697100858881
RHAMCATPWY	Age	Age	-0.195848392609756	0.0529999561017074	573	337	0.000383732841738626	0.00207697100858881
GLCMANNANAUTPWY	Age	Age	0.184852111583717	0.0505095811415653	573	336	0.000423229274615772	0.00218253527890094
GLUTORNPWY	Age	Age	-0.174064881755782	0.047424559397368	573	323	0.000456924691708405	0.00222539247998723
PWY6588	Age	Age	-0.155162994387957	0.0415061584053225	573	345	0.000450111508094851	0.00222539247998723
PWY0162	Age	Age	0.168797291189857	0.0453359115846861	573	287	0.000456783376117357	0.00222539247998723
PWY5989	Age	Age	0.149101686181606	0.0409765600822085	573	162	0.000523360813022463	0.00241480515482294
PWY7357	Age	Age	-0.158962231247878	0.0442570437217728	573	355	0.00051679477617102	0.00241480515482294
