seq.ID	lib.ID	date.seq.run	machine	lane
SCLPQFOF	LB77_C05	211001	A01059	3
SCPRVWGS	LB12_H02	210430	A01059	3
SCRBFXAA	LB14_D01	210430	A01059	2
SCWMFVIL	LB87_D12	220815	A01147	3
SDBHQKRN	LB17_C02	210921	A01059	1
SDEBBRZR	LB81_C08	211001	A01059	2
SDLOSAZY	LB128_C05	220915	A01147	3
SDPPUETF	LB129_B09	220815	A01147	2
SEDENAKC	LB2_G01	210430	A01059	3
SEFPFFIW	LB92_G09	220815	A01147	1
SEHHBHXT	LB20_A05	210505	A01059	2
SEHRMOEY	LB8_A07	210505	A01059	1
SEWBUISO	LB15_F02	210430	A01059	1
SFIEPHZB	LB51_D09	211001	A01059	2
SFIJHDMV	LB87_B04	220815	A01147	3
SFKYZQNY	LB87_E03	220815	A01147	3
SGJQLKFC	LB22_E09	210921	A01059	2
SGKUULEH	LB126_B09	220915	A01147	2
SGMIWQTV	LB73_H12	211013	A01059	2
SGNCFCWO	LB129_D04	220815	A01147	2
SGOZQMRJ	LB130_F04	220915	A01147	2
SGQKUODL	LB9_B05	210505	A01059	2
SGRVPCJK	LB104_E05	220915	A01147	1
SHBKGWWZ	LB20_A10	210430	A01059	1
SHCVRAHY	LB2_B04	210430	A01059	3
SHMZVLWG	LB73_E03	211013	A01059	2
SHNYFQXM	LB22_F08	210921	A01059	2
SHONJYUC	LB52_G10	211001	A01059	1
SHQNMLYA	LB131_D08	220915	A01147	3
SHXCMDBI	LB60_F09	211013	A01059	1
SIAXIBYO	LB44_C04	210921	A01059	3
SIBSTVWQ	LB56_A03	210921	A01059	1
SIFRJBYN	LB15_F03	210430	A01059	1
SIZXECQA	LB12_B04	210430	A01059	3
SJDFBEZB	LB3_C03	210430	A01059	1
SJDHSPGA	LB73_E04	211013	A01059	2
SJHRWWOM	LB8_C10	210505	A01059	1
SJMBCIRW	LB22_D05	210921	A01059	2
SJXMNDLN	LB75_A01	210921	A01059	2
SKAYPPSZ	LB111_B05	220915	A01147	4
SKQYGMRN	LB109_E09	220815	A01147	4
SKSWNXWF	LB73_A12	211013	A01059	2
SKSWXHUN	LB128_B11	220915	A01147	3
SKZGTIDL	LB80_H08	211013	A01059	3
SLDZLAUT	LB25_G09	210921	A01059	2
SLNDKXDY	LB9_D03	210430	A01059	4
SLOHKLGW	LB42_A06	211013	A01059	2
SLQIATFU	LB87_H05	220815	A01147	3
SLRHRQJU	LB20_A07	210430	A01059	1
SMATAGQK	LB77_G01	211001	A01059	3
SMLNSWMT	LB15_B10	210505	A01059	1
SMPQJSCJ	LB70_C10	211013	A01059	1
SMXSBWOB	LB80_E10	211013	A01059	3
SNFDONFY	LB130_F09	220915	A01147	2
SNKIFJMD	LB87_H12	220815	A01147	3
SNKYQCLU	LB128_B09	220915	A01147	3
SNMXLYGY	LB6_G12	210430	A01059	3
SNNDYKJJ	LB27_B07	210921	A01059	3
SNQOSMFC	LB121_F05	220915	A01147	2
