feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY7209	age	age	-0.0788991102818985	0.0164562240863006	4101	2710	1.68937298096813e-06	1.39426895028971e-05
SALVADEHYPOXPWY	age	age	0.0757641562983931	0.0158251386425019	4101	2418	1.74769088476426e-06	1.39426895028971e-05
PWY5850	age	age	0.0773005204015847	0.0162072644558678	4101	1744	1.91146244770436e-06	1.47773259609322e-05
PWY6969.TCA.cycle.V.2oxoglutarate	age	age	0.0797299269990501	0.0167245173153578	4101	2749	1.93463598931424e-06	1.47773259609322e-05
PWY5855	age	age	0.0743617707899883	0.0156932590569813	4101	1405	2.22658869364452e-06	1.5673438059184e-05
PWY5856	age	age	0.0743617707899883	0.0156932590569813	4101	1405	2.22658869364452e-06	1.5673438059184e-05
PWY5857	age	age	0.0743617707899883	0.0156932590569813	4101	1405	2.22658869364452e-06	1.5673438059184e-05
PWY6708	age	age	0.0743617707899883	0.0156932590569813	4101	1405	2.22658869364452e-06	1.5673438059184e-05
PWY5896	age	age	0.0752952436879424	0.0161958532971102	4101	1740	3.44033593104939e-06	2.37515499855141e-05
REDCITCYC	age	age	0.0749766787095418	0.01622985579238	4101	2372	3.96198195400597e-06	2.68368211601536e-05
PWY6630	age	age	0.0762613654198661	0.0165458367975175	4101	2228	4.16838427495101e-06	2.72081809946802e-05
VALSYNPWY	age	age	-0.0735164919782801	0.015944219073692	4101	2059	4.13261877588413e-06	2.72081809946802e-05
KDONAGLIPASYNPWY	age	age	0.0729023513414317	0.0159483780839502	4101	1368	4.99387479866013e-06	3.2014304512839e-05
ASTPWY	age	age	0.0712744797268978	0.0157869201333957	4101	1514	6.51642517496514e-06	4.1042046277412e-05
POLYAMINSYN3PWY	age	age	0.0774744627719348	0.0172167421302398	4101	2618	6.99171395524922e-06	4.3276298447146e-05
HISTSYNPWY	age	age	-0.075442004073623	0.0168291299680672	4101	2086	7.56918847636104e-06	4.60565875087053e-05
PWY7111	age	age	-0.0711187454930782	0.0159121374481952	4101	2043	8.05377509837883e-06	4.81884210053e-05
PWY3O355	age	age	0.0748954006780815	0.0168104203316753	4101	1692	8.60388242563639e-06	5.06359637836633e-05
COAPWY	age	age	-0.0759235961642597	0.0170686730939942	4101	2457	8.89424948671232e-06	5.1500573640802e-05
BRANCHEDCHAINAASYNPWY	age	age	-0.066827007537269	0.0151088784052773	4101	2032	9.98537508042373e-06	5.69007881567003e-05
PWY01261	age	age	0.0690847159872848	0.0156328430723654	4101	2692	1.01680686093556e-05	5.70365098556039e-05
PWY5910	age	age	0.0773085065553937	0.0175278596238804	4101	1316	1.06020193824223e-05	5.85557685890707e-05
ILEUSYNPWY	age	age	-0.0704371194469896	0.0160364152491374	4101	2061	1.14985874032785e-05	6.25453466329848e-05
ASPASNPWY	age	age	-0.0655961696445827	0.0150641751247	4101	1812	1.36660903753601e-05	7.32257678321532e-05
PWY01241	age	age	0.0704111367044458	0.0162537036718296	4101	2491	1.51379579254915e-05	7.99195131654625e-05
PWY0166	age	age	0.0754249092716817	0.0176125098745491	4101	2260	1.8971849154133e-05	9.87086064686052e-05
PWY7187	age	age	0.0758684299073845	0.0177301707569481	4101	2290	1.92568313061997e-05	9.87600348417955e-05
PWY6151	age	age	-0.069388664865765	0.0162466682034849	4101	2215	1.99061584397415e-05	0.000100652265913622
GLYOXYLATEBYPASS	age	age	0.0684531207375415	0.0160436404886753	4101	2188	2.02894706388329e-05	0.000101165554990847
GALACTARDEGPWY	age	age	0.0682793471076114	0.0160376239364986	4101	2526	2.11473366162816e-05	0.00010259316007088
GLUCARGALACTSUPERPWY	age	age	0.0682793471076114	0.0160376239364986	4101	2526	2.11473366162816e-05	0.00010259316007088
PWY7560	age	age	-0.0668750064689261	0.0158680353958624	4101	2619	2.55796818102349e-05	0.000122441410264991
PWY622	age	age	-0.0652925924630883	0.0155637254368128	4101	2503	2.78437078118013e-05	0.00012815245005688
PWY6629	age	age	0.0693946925676183	0.0165392467209743	4101	2086	2.77758636547465e-05	0.00012815245005688
PWY66398	age	age	0.0661930049084762	0.015771073238289	4101	2374	2.76191258558628e-05	0.00012815245005688
PWY5103	age	age	-0.0617965404804985	0.0148295380449726	4101	2045	3.1483060169985e-05	0.000143068589886387
PWY5022	age	age	0.0680691929848249	0.0164301318227317	4101	2501	3.4979506247968e-05	0.000156970534287756
