feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB31384	Age	Age	0.351194100783761	0.0640903652031184	573	92	2.86600409166168e-07	2.50034150065657e-06
GGB28763	Age	Age	-0.251487327788592	0.0437761273032824	573	351	3.02376015872795e-07	2.55003773386057e-06
GGB27860	Age	Age	-0.245213401199656	0.0445608018424405	573	369	4.34504702666098e-07	3.5461190249846e-06
GGB3793	Age	Age	-0.24808864215684	0.0454387594629243	573	369	5.54861194584542e-07	4.38687131968403e-06
GGB79628	Age	Age	0.294608918115572	0.0572883257814869	573	294	9.62370592456232e-07	7.37817454216445e-06
GGB28957	Age	Age	0.291688524183153	0.056404296991405	573	65	1.19768782497737e-06	8.8357044367521e-06
GGB79872	Age	Age	-0.283039311965402	0.0545845707750921	573	297	1.22233065330563e-06	8.8357044367521e-06
GGB30302	Age	Age	-0.207223720718897	0.0396211502183498	573	363	1.34073972990846e-06	9.42242087963447e-06
Sphingorhabdus	Age	Age	-0.156416993850238	0.0313646269285171	573	259	3.18214786653429e-06	2.17590110873831e-05
GGB30454	Age	Age	-0.218026065738764	0.0417392605154339	573	394	3.2872722054745e-06	2.1886312315396e-05
GGB28430	Age	Age	-0.185376834233064	0.0344429514308345	573	364	3.63857938817171e-06	2.2739726026506e-05
GGB28866	Age	Age	-0.209612650285389	0.0418383064683551	573	385	3.68509394105433e-06	2.2739726026506e-05
GGB30455	Age	Age	-0.232014138498453	0.0440988851821079	573	400	3.66361953969152e-06	2.2739726026506e-05
GGB31759	Age	Age	-0.216530685053278	0.0441149701005361	573	272	4.62837294575856e-06	2.78804370304028e-05
GGB30303	Age	Age	-0.219491578490243	0.044863386003279	573	372	5.62791711636617e-06	3.31130937311777e-05
GGB31838	Age	Age	-0.189183379393964	0.0387534585583455	573	215	6.21238498905861e-06	3.5721213687087e-05
Dorea	Age	Age	0.223661264033864	0.0464326074591048	573	371	7.21426702316121e-06	4.05602123746619e-05
GGB28926	Age	Age	-0.213079987045871	0.0456522708945954	573	352	1.05651654627612e-05	5.81084100451864e-05
Muribaculaceae_unclassified	Age	Age	0.211298788752068	0.0447595945028276	573	332	1.19390763246737e-05	6.42677938328178e-05
GGB3171	Age	Age	-0.194842508875477	0.0409217262495275	573	353	1.3168377847891e-05	6.94083249065923e-05
GGB28418	Age	Age	-0.186172063029473	0.0400291386307291	573	359	1.76620132606367e-05	9.119366030492e-05
