feature	herit	herit.se	LRT.pval
HISDEGPWY	0.101798059085029	0.030621645540032	0.000261225137145771
HISTSYNPWY	0.0469947885320106	0.0251629343803104	0.0412361398649538
HSERMETANAPWY	0.0750294591985968	0.0246280314277182	0.000425133650212128
ILEUSYNPWY	0.0618750351552909	0.0251596426846791	0.00420020623163875
KETOGLUCONMETPWY	0.0460728856876603	0.0213419245585857	0.0117870615913812
LACTOSECATPWY	0.161659318244882	0.0334553998022453	1.17362397578091e-09
METHACETATEPWY	0.0512554396715194	0.0217081621693756	0.00351260950555066
METSAMPWY	0.0767983692498895	0.0190174555753371	0.000380624451840728
METSYNPWY	0.0761615366966106	0.018975254285176	0.000378436323484888
NAGLIPASYNPWY	0.0611981036550702	0.0232694614965759	0.000554286784325564
NONMEVIPPPWY	0.10760862487161	0.0295834417312109	1.30351569513909e-05
NONOXIPENTPWY	0.0659056506435885	0.0244005005404347	0.00154301234253917
OANTIGENPWY	0.0729588096316497	0.0269190483873271	0.00122959255593202
P105PWY	0.0445938686366789	0.0224650050960685	0.0238783197681348
P108PWY	0.00870084786020377	0.0191265411070266	0.649841334558327
P122PWY	0.0512310914696488	0.0156513338302349	9.90441389925323e-05
P124PWY	0.0914409380871895	0.0278631920781085	5.59449151070757e-05
P161PWY	0.0204630577400951	0.0197625974452222	0.263033020338876
P164PWY	0.020381064654873	0.0189240184723713	0.200937532743634
P185PWY	0.0326150513994347	0.022651977630726	0.123197592497491
P41PWY	0.087043176872486	0.0262985117489713	7.3572077573747e-05
P42PWY	0.032781893430615	0.0197041751974399	0.0655032818640797
P441PWY	0.0592923735062229	0.0165149798654436	2.36879101619403e-05
P461PWY	0.0419829401913276	0.0213864258982237	0.0175614756115688
PANTOPWY	0.110100615502697	0.0293835441233596	2.95228014979276e-05
PANTOSYNPWY	0.112171055328123	0.0283744812849916	7.68667466466422e-06
PENTOSEPPWY	0.0523870255604424	0.0223248247995699	0.00584025243555997
PEPTIDOGLYCANSYNPWY	0.0482418773030275	0.022612833977003	0.0224922723412755
PHOSLIPSYNPWY	0.0738612191465059	0.0267017379590797	0.00134882990633756
POLYAMINSYN3PWY	0.0553230150412779	0.0233965192752379	0.00106469724655189
POLYAMSYNPWY	0.0308887409189449	0.0192071902019319	0.0189577206079664
POLYISOPRENSYNPWY	0.0989566356283795	0.0281018158559254	2.09134050194182e-05
PPGPPMETPWY	0.127771193594316	0.0299325220658821	1.46691069680127e-06
PWY01061	0.0649005485779084	0.0242025286066628	0.00135658131593674
PWY01241	0.00823228226555423	0.0194423625482673	0.650048034093289
PWY01261	0.0541362091871452	0.0256709725505379	0.0269255754315915
PWY01296	0.125586124681724	0.0300571243154096	2.17996024121092e-07
PWY01297	0.0223514349199205	0.0200676874621349	0.222919431679592
PWY01298	0.0149580985036487	0.018150890041386	0.343432352307364
PWY01319	0.117991815181446	0.0293297815443484	3.49646849251428e-07
PWY01477	0.0234184122978705	0.0212469212636669	0.216650065082705
PWY01479	0.0587876619049159	0.0246064110784345	0.00656265556865387
PWY01586	0.0948285389334916	0.0284831896474323	9.46314206482501e-05
PWY0162	0.0851570228666298	0.0281500409299098	0.000258663339551601
PWY0166	0.07816906000421	0.026316449020302	0.000364518138174175
PWY0301	0.0422036158953677	0.0244756734502656	0.0688911906802887
PWY0845	0.0633381250526854	0.0250839212552883	0.00473822002418822
PWY0862	0.0473416546443957	0.0259928367588841	0.0533957998256169
PWY1042	0.132643575749591	0.0294559881477057	1.21612738768206e-08
PWY1269	0.0184379637934413	0.0221826276152055	0.387956929000144
PWY1861	0.00479182692323502	0.0179961781689487	0.777088053185171
PWY1ZNC1	0.0319517292605216	0.0217966571902596	0.129863385334986
PWY241	0.0871757666966048	0.0265665129389808	0.000127595508146561
PWY2941	0.0476665373785687	0.0225692891313944	0.0138381535285228
PWY2942	0.0598242953986752	0.0245549081293429	0.00471970434198721
PWY3001	2.6944178380076e-07	1.00678689398876e-08	1
PWY3841	0.0633492303546457	0.0239533183261586	0.000398730893012345
PWY4041	0.107981541423601	0.0282213294150394	6.168328390177e-06
PWY4984	0.0536830871319623	0.0227269492067327	0.00416766796262213
PWY4FS7	0.0819653023414043	0.0272206501979298	0.000318443838063009
PWY4FS8	0.0819653023410777	0.0272206501979225	0.000318443838069893
PWY4LZ257	0.0182395641573159	0.0187305302695478	0.288358101405668
PWY5005	0.0962353573371738	0.0285421888501351	6.43439187174577e-05
PWY5022	0.00573894386964738	0.0166817254431821	0.677154408867073
PWY5030	0.0347819037930644	0.01938219839398	0.0336848227670179
PWY5097	0.0972308390020792	0.0280439952101934	3.37227656403982e-05
PWY5100	0.0857620979549651	0.0264435112122059	0.000108422972352362
PWY5103	0.0412018408563064	0.022626867595677	0.0376881132232006
PWY5121	0.117048203591397	0.0294879473971409	1.2677106594472e-06
PWY5136	0.0366087740908676	0.0152829735131167	0.00903649534597928
PWY5154	0.0806012415520235	0.026464629779866	0.000151136913018157
PWY5188	0.00725958225699784	0.0187238064090475	0.680486892600525
PWY5189	0.0564034665208781	0.02526834597855	0.0153442579321854
PWY5345	0.0693373758997954	0.0254932375804068	0.00237051757046702
PWY5347	0.0761262703969685	0.0189783512893844	0.000415217998560036
PWY5384	0.0532552375185712	0.0245222479984013	0.013917703141311
PWY5484	0.082793322584253	0.0266511431761388	0.000298754970464832
PWY5497	0.0340197087008573	0.0215600148041401	0.0658772493485925
PWY5505	0.026908903765035	0.0194817373795008	0.081151786496469
PWY561	0.0636324028540374	0.024927571215258	0.00417445143706352
PWY5659	0.0609399164202496	0.0233907161715741	0.0023134614892284
PWY5667	0.117991815181562	0.0293297815443252	3.49646849251428e-07
PWY5675	0.0545648282991694	0.0242123394642423	0.00895509702623853
PWY5676	3.40835867963925e-07	1.05055987896398e-08	1
PWY5686	0.0957386543447288	0.0271684863886853	5.53084647426649e-05
PWY5695	0.107949703158849	0.0307626015634656	4.73214177042491e-05
PWY5723	0.0197200059146772	0.0209820769550885	0.307973624359983
PWY5837	0.0471706129233147	0.024961340803651	0.0407805201528217
PWY5838	0.0586004251931639	0.0265270298380939	0.0187661877454076
PWY5840	0.0480866052928298	0.025211126902161	0.0377981625336749
PWY5897	0.0465014161702289	0.0249702480781432	0.0436650148519072
PWY5898	0.0465014161702289	0.0249702480781432	0.0436650148519072
PWY5899	0.0465014161702289	0.0249702480781432	0.0436650148519072
PWY5910	0.11887369434364	0.0313601862638668	4.55412833766378e-06
PWY5913	0.1499901683776	0.0321663295048944	3.65437924365608e-09
PWY5941	0.0693390233009454	0.0252478209597659	0.00189020396274331
PWY5973	0.0834651303358978	0.0267545641216004	0.000320864901133366
PWY5981	0.145622094940127	0.0333860139101661	4.20050693117346e-08
PWY5989	0.0519676859570923	0.0258010658664461	0.0325968731516305
PWY6121	0.0958453315073941	0.0283648999115985	3.3913315788392e-05
PWY6122	0.109126737057293	0.0286853578623559	2.73099381886688e-06
PWY6123	0.0574300781308566	0.0236551434735746	0.00528395461772568
PWY6124	0.0553632743641617	0.0236739247503246	0.00740834535187862
PWY6125	0.0789483141122173	0.0275666918320038	0.000675252022143358
PWY6126	0.0766732942982778	0.0271969613879957	0.000745787782915119
PWY6143	0.0523180668168584	0.0268476010335152	0.0246051797521919
PWY6147	0.102278468176695	0.0274363590409714	3.75865885393623e-06
PWY6151	0.0630300600516238	0.0244963522001389	0.00411954623611643
PWY6163	0.0605565179179678	0.0259060395292881	0.00889935741291525
PWY621	0.0102966652844863	0.0192550647961296	0.566070168626893
PWY622	0.110770333933967	0.0280991478273496	7.52773857470856e-07
PWY6270	0.060097570007925	0.0233934730458966	0.00080845435035759
PWY6277	0.109126737057293	0.0286853578623559	2.73099381886688e-06
PWY6282	0.0499546587546278	0.026297453508296	0.0453174241842547
PWY6292	0.0513279118159061	0.0259399543741337	0.0298381008816341
PWY6293	0.0945423323915015	0.0271483938930307	3.43953933529262e-05
PWY6305	0.0516106189041954	0.0222411904817133	0.00135512110795777
PWY6317	0.0720683940312486	0.02555082456214	0.000581397793088634
PWY6353	0.0245305742293721	0.0194619702758134	0.136987388660503
PWY6385	0.0257100046783912	0.0202234264168141	0.182959043214319
PWY6386	0.0456225452338886	0.022526273337673	0.0271809923442039
PWY6387	0.0439721256547704	0.0231037588955143	0.0440359229083261
PWY6470	4.91120789457902e-07	1.25885990158419e-08	1
PWY6507	0.0314494394923709	0.0195354363130721	0.0477775259734785
PWY6519	0.0512951315602025	0.026507543981185	0.0421027646317854
PWY6527	0.0721354069820837	0.0250673277936753	0.000918520898031461
PWY6531	0.0699634146571167	0.0247241243587065	0.000567996067953325
PWY6545	0.0716038743754796	0.025932219761287	0.00102119807052969
PWY6549	0.0983278943002688	0.028624633633647	3.64199304494495e-05
PWY6562	0.00701158534375546	0.0179107062223442	0.677096579427133
PWY6565	0.00678072600764027	0.017847189934698	0.686070091965214
PWY6588	0.0437225716797969	0.0222664307465913	0.0211795380770005
PWY6590	0.00879022402635207	0.0201941705123217	0.659653768918106
PWY6595	0.0613706267711194	0.0222024150446	0.000641058251982574
PWY6606	0.0368285303214073	0.0214180912589801	0.0529141869786826
PWY6607	0.0633447290606448	0.0236165220193976	0.00107583095674191
PWY6608	0.0384020109239395	0.0218479352961633	0.0357122115216725
PWY6609	0.115754773764597	0.0286257139969763	3.08737567067396e-07
PWY6628	1.71713378233041e-07	4.16002016140224e-09	1
PWY6630	4.20115123708349e-07	1.06900674986077e-08	1
PWY66391	0.042021799174594	0.0241680544819379	0.0506923750387628
PWY66399	3.10638599096131e-07	1.21839555049959e-08	0.99377817116642
PWY66409	0.049900063817904	0.0235638501218467	0.0132167178536695
PWY66429	0.104696309985475	0.0279271776345531	4.42037764825098e-06
PWY6700	0.122920094553141	0.0300288643060462	3.13912769200897e-06
PWY6703	0.103720781447202	0.0276938008912913	1.57213648420695e-05
PWY6731	0.0540030575527824	0.0224091041926665	0.00309702984345372
PWY6749	0.0338647062845201	0.0207863252181418	0.0575498710321397
PWY6803	0.0769921070002672	0.0256366626490055	0.000405462836245984
PWY6823	0.0185903007394248	0.0177971131398202	0.239914179222512
PWY6859	0.102132749576541	0.029069723472694	3.0573619753671e-05
PWY6876	0.0299173885674727	0.0213083667787967	0.127380150580955
PWY6895	0.0470598578686135	0.0226559504284952	0.0185182684910364
PWY6897	2.27887176905707e-07	5.91842771280527e-09	1
PWY6901	0.0570886253536299	0.0236381241310476	0.00497042922877355
PWY6936	0.141004712583639	0.0320035503981098	5.57922686938994e-08
PWY6953	0.0326792495268187	0.0217281658097639	0.0918786965115372
PWY6961	0.0415003386646862	0.0243431998615674	0.0721703796969512
PWY6969	0.0495337012366655	0.0220153002611352	0.00675488958634884
PWY702	0.0122125203556595	0.0173309998668583	0.450890180150792
PWY7090	0.0288459180946743	0.0217997606505542	0.176271184249445
PWY7111	0.0526675420636797	0.0249766493036569	0.0182911614861238
PWY7115	0.0668526808438792	0.0238016801991727	0.00071133782003785
PWY7117	0.0928381013560626	0.0269714570684524	5.96594636879111e-05
PWY7118	0.0670948700667896	0.0255843008479418	0.00255090738308872
PWY7184	0.0794502091810292	0.0264317938556205	0.000315667312658197
PWY7197	0.0745945812628562	0.0276322820311374	0.00145051151104991
PWY7198	0.0174250017334394	0.0207885154756241	0.389233793640605
PWY7199	0.0622038849415872	0.0244110117641963	0.00142934451219656
PWY7208	0.0855601363913067	0.0285419315498127	0.000483053607403749
PWY7211	0.0409731401560847	0.0160215594355169	0.0038365290354303
PWY7220	0.0798464269756751	0.0275813293887372	0.000541570123201884
PWY7221	0.0295369701620974	0.0203391174154418	0.121619170168938
PWY7222	0.0798464269756751	0.0275813293887372	0.000541570123201884
PWY7228	0.0863681707792282	0.0284003502118909	0.000384092259681501
PWY7229	0.0749319768118382	0.0267851063317297	0.000749128685557432
PWY7234	0.05484818881835	0.0238817863946387	0.00808642770162715
PWY7237	0.0676137610291005	0.0232153181128674	0.000283755601959479
PWY7238	0.060915053579219	0.0247782478209465	0.00331214434437632
PWY724	0.0394710313455701	0.0222137460660756	0.0415524711131656
PWY7242	0.074727376260769	0.0240409243971628	6.01414381986576e-05
PWY7282	0.058843093424759	0.0251178367592346	0.0106933532347878
PWY7315	0.0743411359269032	0.0254002408763796	0.000278068184557112
PWY7316	0.0517457221241651	0.0216213718016303	0.00156860356593458
PWY7323	0.0196605340957753	0.0183472500128675	0.22443502554314
PWY7328	0.0320414124980564	0.0202456690153526	0.074908570094355
PWY7345	0.0556542760873367	0.0223530913181662	0.00326247089338116
PWY7356	0.0147713905366307	0.0168443222603969	0.302853746205532
PWY7357	3.76826394201718e-07	1.03769413706374e-08	1
PWY7383	0.0652256073496968	0.0240107454385611	0.00123237397568066
PWY7392	0.104350044497832	0.0295402544328601	2.32318065747084e-05
PWY7400	0.0319424239592353	0.0233343771844072	0.132234868242357
PWY7456	0.0392240512118798	0.022224671670009	0.055886333700978
PWY7560	0.0646058764723446	0.0237475937303506	0.000351530938403233
PWY7663	0.0882600015531601	0.0272052169906184	0.000183352204073617
PWY7664	0.0499232022714317	0.0262954187300242	0.0454190186168953
PWY7688	0.0461573355491402	0.0234899095725565	0.0260513041009045
PWY7761	0.013681238100097	0.0173878057246057	0.38160519914714
PWY7790	0.095961688446687	0.0271935063087436	5.51746343201431e-05
PWY7791	0.0957386543447288	0.0271684863886853	5.53084647426649e-05
PWY7851	0.0383442726854837	0.0225039016401353	0.0657098281522045
PWY7953	0.0357191798691836	0.0219528842203885	0.0903205114617857
PWY7977	0.0854443070300695	0.0247693572505275	6.57903988278141e-05
PWY8004	0.118807971828249	0.0293589120761624	1.04273944190325e-06
PWY801	0.0947437537467418	0.0271529462621004	3.29713328559578e-05
PWY8073	0.0611981036550702	0.0232694614965759	0.000554286784325564
PWY8131	0.0350418788016088	0.0222718841900102	0.0904235943546242
PWY8178	0.0751907533893722	0.0246581814699861	0.000292338098520251
PWY8187	0.0500376487281409	0.0226235199845732	0.0110212417287113
PWY821	0.0376374588003115	0.0218321141169883	0.0613593973638672
PWY841	0.0730705107477291	0.0266483333230935	0.00105832597424371
PWY922	0.123956550541486	0.031681705538522	1.81772120477763e-06
PWYI9	0.0388081056013082	0.0238200329593702	0.0700816413618336
PYRIDNUCSYNPWY	0.107951211535739	0.0299062303857762	0.000101716198665835
PYRIDOXSYNPWY	0.063306334244574	0.0241976926816538	0.00287233215733596
RHAMCATPWY	0.0583373320366933	0.0249738054209223	0.00616437334586717
RIBOSYN2PWY	0.024458170087316	0.0185664357721386	0.11864105965407
SALVADEHYPOXPWY	0.0423439707951245	0.0227399033573601	0.0286474093711208
SERGLYSYNPWY	0.0867545987400095	0.0289609160357366	0.000379195784226072
SO4ASSIMPWY	0.0531254330247017	0.0239714634952323	0.0143962990371149
SULFATECYSPWY	0.0489000950672811	0.0229812850439195	0.0152722513812037
TCA	0.0427332820173166	0.0235327666483048	0.042606306538159
THISYNARAPWY	4.73549178583538e-08	0.019582306169194	0.995783574393372
THRESYNPWY	0.0471899667005357	0.0228102168842277	0.0200854715919361
TRNACHARGINGPWY	0.101650408739961	0.0267596444357099	3.93053367075957e-07
UDPNAGSYNPWY	0.0854742436851651	0.0280511331233111	0.000219433309418982
Uniqueness	0.0554809225750268	0.0242976139312831	0.00894822236441573
VALSYNPWY	0.121048988065881	0.028811859867347	3.4987708030787e-07
X1CMET2PWY	0.0849368916942722	0.0245156638520912	6.47664527387848e-05
