feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB45293	Age	Age	-0.213259621016978	0.0821623727850326	141	80	0.0104702591839551	0.0218403062665313
GGB28404	Age	Age	-0.195367066275293	0.0788952851254101	141	72	0.0144936969991379	0.0298127444374197
GGB47144	Age	Age	0.158296162084422	0.0639391925663652	141	44	0.0145155684526763	0.0298127444374197
Acutalibacter	Age	Age	0.167235754290577	0.0689633388168347	141	23	0.0166111114356978	0.0338562347582543
GGB75036	Age	Age	-0.19910077958224	0.08306416377349	141	72	0.0178773656398488	0.0358891475627039
Leuconostoc	Age	Age	0.135036925552275	0.0563129245277368	141	34	0.0178335067281524	0.0358891475627039
GGB45650	Age	Age	0.178327102582638	0.0754044462024805	141	23	0.0194352606461191	0.0387254820336852
GGB30473	Age	Age	-0.19481746198504	0.082541210811636	141	81	0.0196709109712202	0.0389046905875243
GGB47127	Age	Age	-0.190216147697342	0.0832702896032722	141	87	0.0238675877542843	0.0468576906646611
GGB28875	Age	Age	0.184574334563916	0.0813762683102312	141	82	0.0248824203306636	0.0484934761188845
GGB31762	Age	Age	-0.188448719913428	0.0832991955000573	141	91	0.0252291749319059	0.0488129688899918
Parasutterella	Age	Age	-0.187114419094946	0.082909069423437	141	76	0.0255963449802886	0.0491670799261659
GGB28792	Age	Age	0.186484548343183	0.0830506447107128	141	87	0.0263386207834966	0.0502315124942399
GGB28330	Age	Age	0.173937078124622	0.0778048676815972	141	85	0.0269984649089631	0.0511247526999514
GGB28430	Age	Age	-0.182828381041631	0.0822028786133187	141	61	0.0277758346945978	0.052226393404631
GGB28841	Age	Age	-0.184243688517118	0.0831062190041675	141	20	0.0282702592534518	0.0527843302144869
GGB28766	Age	Age	0.182044683492634	0.0834015912245794	141	73	0.0307335651456256	0.0569851520408475
GGB28778	Age	Age	-0.164175756338937	0.0765828699896973	141	82	0.0338170481674162	0.0622700128324146
Uniqueness	Age	Age	0.174986207634007	0.0819508106453798	141	76	0.0345172538667676	0.0631240190577188
GGB28790	Age	Age	0.156968758756724	0.0739918359757408	141	17	0.0356855911759422	0.064816686013446
GGB28844	Age	Age	0.125096021330995	0.0591677379430283	141	29	0.0363045212312493	0.0654953187077267
GGB28851	Age	Age	-0.14300182276664	0.0680655694289732	141	87	0.0374777715819566	0.0671581544455195
Observed	Age	Age	0.171557855393644	0.0819374451779897	141	71	0.038121948110966	0.0678570676375194
GGB30450	Age	Age	0.171839300275604	0.0835572114725619	141	89	0.041600271826945	0.0735580965416842
Eubacteriales_unclassified	Age	Age	-0.161682400883063	0.0788279268786339	141	88	0.0421642723530372	0.0740184814090565
GGB79698	Age	Age	-0.150797761404475	0.0736119179570701	141	90	0.0424150848523807	0.0740184814090565
GGB42598	Age	Age	0.133949981198326	0.0656005518878415	141	53	0.0430799040193941	0.0746904829427158
GGB28949	Age	Age	-0.156914103203081	0.0794121498583802	141	83	0.0501691208721248	0.0864203565990795
GGB25052	Age	Age	-0.164695624330299	0.0835902642672592	141	81	0.0508179860694445	0.08697693769578
GGB28980	Age	Age	-0.154238342502977	0.0784659418471997	141	85	0.0513580333909059	0.0873413688877189
GGB28944	Age	Age	0.104196093730441	0.0533703101863986	141	81	0.0529389549589337	0.0894601327470588
GGB30300	Age	Age	-0.163065457496135	0.0836836135069446	141	81	0.053358172040954	0.0896014587102813
GGB30461	Age	Age	-0.157755582258238	0.0818724760212991	141	77	0.056067388768177	0.0935624550068953
GGB31841	Age	Age	0.110263983395562	0.0573930121346293	141	42	0.0567822187750577	0.094166785173543
GGB28901	Age	Age	-0.15905828435875	0.0830895685182513	141	82	0.0576634797180869	0.0950379573131433
GGB42601	Age	Age	0.152572761773388	0.0817643898548604	141	90	0.0641772216860966	0.105124651473545
Oscillospiraceae_unclassified	Age	Age	0.153360907015012	0.0830689728119236	141	80	0.0670197648232987	0.109111446389151
GGB28981	Age	Age	-0.143943224171195	0.0783305841590535	141	86	0.068281552760119	0.110491967193647
GGB28987	Age	Age	0.151451116272439	0.0838404857207904	141	95	0.0730161432411763	0.117441627984302
GGB30297	Age	Age	0.139387599114869	0.0792795698228921	141	17	0.0809494878783657	0.12942223511092
GGB24102	Age	Age	-0.146969867421106	0.0838978420448689	141	86	0.0820185368239736	0.130350888880958
GGB28883	Age	Age	0.122836423195178	0.070361231403186	141	37	0.0830877597061113	0.131268827464685
GGB28870	Age	Age	-0.130943855877175	0.0752131641012148	141	79	0.0839334290200456	0.131397873525223
GGB28436	Age	Age	0.110192045726985	0.063338921244875	141	29	0.0841536942801988	0.131397873525223
GGB79760	Age	Age	-0.144312269856554	0.0831697015352866	141	89	0.0849591138949377	0.131884205871793
GGB28769	Age	Age	-0.14117568785654	0.0826221677875733	141	86	0.0897706362322747	0.138547744936516
Shannon	Age	Age	0.139978329257382	0.0839838142738698	141	74	0.0978198913659008	0.150102936751124
GGB28951	Age	Age	-0.123288544971211	0.0742492907277951	141	89	0.0991070781478116	0.150349942417419
Simpson	Age	Age	0.139541722871548	0.0839890412335087	141	80	0.0988813927381771	0.150349942417419
GGB31839	Age	Age	0.0959943429335928	0.0584774611664333	141	32	0.10297449119178	0.155334401967261
GGB28829	Age	Age	0.0944010296450237	0.0583059542629481	141	31	0.10773336376541	0.161600045648114
GGB31184	Age	Age	-0.133406487004226	0.0840607312672714	141	73	0.114779208013377	0.171206975081405
GGB42644	Age	Age	-0.127148439798521	0.0809806001683292	141	91	0.118694933161276	0.176064150855893
GGB31767	Age	Age	-0.118724481515428	0.0760908616480234	141	15	0.120995821824531	0.178485549321269
