feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY7111	Age	Age	0.646880311650159	0.0646821705165299	141	88	4.50020304665674e-18	5.85026396065376e-17
PHOSLIPSYNPWY	Age	Age	-0.635345111975492	0.0654995517964153	141	81	2.62336992621372e-17	3.23088717228427e-16
PWY7383	Age	Age	-0.625448614429167	0.0646114639846288	141	82	3.29243846634568e-17	3.85215300562444e-16
PWY4FS7	Age	Age	-0.603600695362435	0.063680243079123	141	84	1.06236893859694e-16	1.12997423468948e-15
PWY4FS8	Age	Age	-0.603600695362435	0.063680243079123	141	84	1.06236893859694e-16	1.12997423468948e-15
PWY5188	Age	Age	-0.59664257373345	0.0650792649179263	141	81	6.36897079103772e-16	6.47973550044707e-15
HISTSYNPWY	Age	Age	0.594486435155969	0.0651717737152398	141	80	8.30208258980308e-16	8.09453052505801e-15
PWY5030	Age	Age	-0.596002684208913	0.0680157218536157	141	77	6.37486969530237e-15	5.96687803480302e-14
PWY7198	Age	Age	0.593222821108832	0.0682824584590092	141	82	9.10821697792146e-15	8.19739528012931e-14
PWY6147	Age	Age	-0.556636313984537	0.0669319858601961	141	82	8.03731854035185e-14	6.96567606830494e-13
RHAMCATPWY	Age	Age	-0.574647436139419	0.0691994127974512	141	80	8.50661635766021e-14	7.10910081318746e-13
PWY1ZNC1	Age	Age	-0.564960989916391	0.0699855627389668	141	80	2.93086523656819e-13	2.36490505295502e-12
SERGLYSYNPWY	Age	Age	-0.516129399492163	0.0698273532640704	141	87	1.29722399510121e-11	1.01183471617895e-10
PWY6901	Age	Age	-0.526508317524971	0.0714730945731854	141	90	1.47673595472641e-11	1.11469746259994e-10
PWY7456	Age	Age	0.525080064811325	0.0717796775692267	141	37	1.94409822378081e-11	1.42162182613972e-10
PWY2942	Age	Age	0.524628705606446	0.0719280620567336	141	83	2.17821221199264e-11	1.54455047759478e-10
ASPASNPWY	Age	Age	-0.521665824977697	0.0723632308083602	141	79	3.28774132231883e-11	2.26273961594884e-10
PWY5384	Age	Age	-0.518981322418228	0.0725019665811686	141	77	4.31177550435211e-11	2.88272990862398e-10
PWY6897	Age	Age	-0.510206763563472	0.0714400570819452	141	80	4.9192626645665e-11	3.19752073196822e-10
PWY7560	Age	Age	-0.509629768775215	0.0724525744764124	141	90	8.6626446738505e-11	5.47853744238113e-10
GLYCOCATPWY	Age	Age	-0.511420087697162	0.0728238009846246	141	92	9.17308287554271e-11	5.64868787599209e-10
PWY01477	Age	Age	0.509679472371886	0.072975152736079	141	85	1.08350726310402e-10	6.50104357862414e-10
ANAEROFRUCATPWY	Age	Age	-0.502684351958124	0.0727205366474071	141	87	1.64145785480634e-10	9.60252845061707e-10
P161PWY	Age	Age	0.504718854182139	0.0731900138397179	141	85	1.78132464772097e-10	1.01665845747977e-09
PWY7357	Age	Age	-0.483734144038632	0.07205525208569	141	82	4.62818180005397e-10	2.57855843145864e-09
PWY6270	Age	Age	-0.490930351423573	0.0734261043875629	141	91	5.30765891470526e-10	2.88835392102565e-09
RIBOSYN2PWY	Age	Age	-0.465196359788984	0.0709171392863289	141	82	1.01871240071558e-09	5.41769776744195e-09
PWY702	Age	Age	0.483725757478747	0.0742256391967221	141	93	1.25735225066746e-09	6.5382317034708e-09
PWY7115	Age	Age	0.481698367524877	0.0742862843436234	141	89	1.48586828389558e-09	7.5491390967655e-09
PWY01297	Age	Age	0.48138126084016	0.074344719237503	141	91	1.51628007499136e-09	7.5491390967655e-09
PWY4041	Age	Age	-0.479419099015401	0.0742237745729332	141	79	1.68964208319342e-09	8.23700515556794e-09
PWY7400	Age	Age	0.442270485488473	0.0697942873100038	141	79	3.14754686212887e-09	1.50311421579215e-08
PWY01241	Age	Age	-0.464371275753193	0.073725173469305	141	79	3.80428134788263e-09	1.78040367080907e-08
P124PWY	Age	Age	0.46932356931796	0.0748973103839709	141	87	4.34723074660315e-09	1.9946117543238e-08
PWY6123	Age	Age	0.439699078449985	0.0703355451084302	141	72	4.82136786684356e-09	2.1696155400796e-08
PWY5189	Age	Age	0.461046617305972	0.0739787239085459	141	40	5.29821460350344e-09	2.33921173060341e-08
Uniqueness	Age	Age	0.450759267646302	0.0724345288461151	141	64	5.55309488020779e-09	2.40634111475671e-08
NONMEVIPPPWY	Age	Age	0.442102631883528	0.0724051153323577	141	73	9.90780751959189e-09	4.21532174469909e-08
VALSYNPWY	Age	Age	0.451179044755196	0.0756150360924738	141	75	1.94831052538701e-08	8.14115469536716e-08
DAPLYSINESYNPWY	Age	Age	0.444716005770173	0.07596987637631	141	84	3.30021382422639e-08	1.35482462257715e-07
PWY6121	Age	Age	0.4419241930382	0.0760869914673843	141	73	4.11237856702091e-08	1.65913204255671e-07
LACTOSECATPWY	Age	Age	-0.428601890627809	0.0749610328457011	141	76	6.47327510701079e-08	2.56736673735682e-07
PWY01586	Age	Age	-0.429369712045224	0.0762770182533482	141	80	9.82676932408954e-08	3.83244003639492e-07
PWY01061	Age	Age	0.42824536209956	0.0762658073732831	141	86	1.04934715497968e-07	4.02536449615155e-07
PWY622	Age	Age	0.426988213784103	0.0765836042244607	141	86	1.26275883395414e-07	4.76589624427854e-07
PWY6317	Age	Age	-0.41368369631071	0.0751831266392793	141	78	1.78041983309153e-07	6.61298795148283e-07
PWY6124	Age	Age	0.393184270645689	0.0719245205322287	141	72	2.10257201550434e-07	7.68752893168773e-07
P441PWY	Age	Age	0.417415392123797	0.0770762674900804	141	88	2.61237122852498e-07	9.40453642268993e-07
ANAGLYCOLYSISPWY	Age	Age	0.396074251488413	0.0754529349743314	141	78	5.67819099203307e-07	2.01317680626627e-06
THRESYNPWY	Age	Age	-0.397721282750534	0.0771699563147704	141	79	8.70909549725713e-07	3.04168409904204e-06
PWY1042	Age	Age	0.380292929405745	0.0778321586619598	141	76	2.82609487018518e-06	9.72509117093134e-06
PWY6168	Age	Age	-0.363282010968014	0.0783781255521917	141	85	8.21514864535056e-06	2.78600693190149e-05
PWY7238	Age	Age	0.3604530595382	0.07829581441033	141	92	9.36249468534991e-06	3.1297482233884e-05
PWY6527	Age	Age	-0.355978649568279	0.0782854236671225	141	73	1.18321975492934e-05	3.89962567117557e-05
PWY3001	Age	Age	-0.350846202641918	0.0794272184873124	141	87	1.99566927546255e-05	6.48592514525329e-05
PWY2941	Age	Age	-0.333170002563618	0.0768391895352233	141	80	2.79182242294362e-05	8.9491294105316e-05
PWY6630	Age	Age	0.341832160222256	0.0797094893495007	141	61	3.34551329916056e-05	0.000105790555676158
GLCMANNANAUTPWY	Age	Age	-0.339976520934455	0.0797665643343577	141	74	3.71367593716171e-05	0.000112857164843616
HEMESYN2PWY	Age	Age	-0.333326645009985	0.0780956630445961	141	84	3.65422789545955e-05	0.000112857164843616
PWY4LZ257	Age	Age	0.339921484086234	0.0797050844522505	141	85	3.69932925663864e-05	0.000112857164843616
PWY5981	Age	Age	-0.332047895824732	0.0796077120572744	141	90	5.34506323346144e-05	0.000160351897003843
PWY5154	Age	Age	-0.330350939618909	0.0800570056201817	141	85	6.31572790338852e-05	0.000187073459416824
TRNACHARGINGPWY	Age	Age	0.312660865586931	0.0769602781901636	141	76	8.12861004715419e-05	0.00023776184387926
PWY6305	Age	Age	-0.324739716368277	0.0802219993783909	141	51	8.53827758501165e-05	0.000246661352455892
PEPTIDOGLYCANSYNPWY	Age	Age	0.311786846207043	0.0778946902045831	141	69	0.00010209828660388	0.0002913536471379
GLUTORNPWY	Age	Age	0.310002270624251	0.0799434081759113	141	89	0.000162879096392041	0.000459201307900452
PWY6122	Age	Age	0.310325816112683	0.0806161186560992	141	71	0.000180718668482716	0.000497507863823006
PWY6277	Age	Age	0.310325816112683	0.0806161186560992	141	71	0.000180718668482716	0.000497507863823006
PWY7234	Age	Age	0.305813411321801	0.0807553440535463	141	73	0.000226236619952188	0.000615574058939673
PWY6936	Age	Age	-0.29605829958628	0.0810164510892331	141	90	0.000364613453018015	0.000980684459841558
PWY66429	Age	Age	-0.292172903090451	0.0807503485532883	141	82	0.000415903857957419	0.00110592616775041
GLUCONEOPWY	Age	Age	0.287086425358382	0.080822468948655	141	79	0.000524352166719319	0.00137863378665529
PWY5345	Age	Age	-0.275322919582994	0.0790085263599569	141	59	0.000661949071228485	0.00172106758519406
