one.minus.specificity,sensitivity,fold
0.28628629,0.31060297,mean
0.28728729,0.31060297,mean
0.28828829,0.31060297,mean
0.28928929,0.31060297,mean
0.29029029,0.31060297,mean
0.29129129,0.31705458,mean
0.29229229,0.31705458,mean
0.29329329,0.31705458,mean
0.29429429,0.31705458,mean
0.29529530,0.31705458,mean
0.29629630,0.31705458,mean
0.29729730,0.31705458,mean
0.29829830,0.31705458,mean
0.29929930,0.31705458,mean
0.30030030,0.31705458,mean
0.30130130,0.31705458,mean
0.30230230,0.31705458,mean
0.30330330,0.31705458,mean
0.30430430,0.31705458,mean
0.30530531,0.31705458,mean
0.30630631,0.31705458,mean
0.30730731,0.31705458,mean
0.30830831,0.31705458,mean
0.30930931,0.31705458,mean
0.31031031,0.31705458,mean
0.31131131,0.31705458,mean
0.31231231,0.31705458,mean
0.31331331,0.31705458,mean
0.31431431,0.31705458,mean
0.31531532,0.31705458,mean
0.31631632,0.31705458,mean
0.31731732,0.31705458,mean
0.31831832,0.31705458,mean
0.31931932,0.31705458,mean
0.32032032,0.31705458,mean
0.32132132,0.31705458,mean
0.32232232,0.32013151,mean
0.32332332,0.32658312,mean
0.32432432,0.32658312,mean
0.32532533,0.32658312,mean
0.32632633,0.32658312,mean
0.32732733,0.32658312,mean
0.32832833,0.32658312,mean
0.32932933,0.32658312,mean
0.33033033,0.32658312,mean
0.33133133,0.32658312,mean
0.33233233,0.32658312,mean
0.33333333,0.32658312,mean
0.33433433,0.33427543,mean
0.33533534,0.33427543,mean
0.33633634,0.33427543,mean
0.33733734,0.33427543,mean
0.33833834,0.33427543,mean
0.33933934,0.34042927,mean
0.34034034,0.34042927,mean
0.34134134,0.34042927,mean
0.34234234,0.34042927,mean
0.34334334,0.34042927,mean
0.34434434,0.34042927,mean
0.34534535,0.34042927,mean
0.34634635,0.34042927,mean
0.34734735,0.34042927,mean
0.34834835,0.34042927,mean
0.34934935,0.34042927,mean
0.35035035,0.34042927,mean
0.35135135,0.34042927,mean
0.35235235,0.34042927,mean
0.35335335,0.34042927,mean
0.35435435,0.34042927,mean
0.35535536,0.34688089,mean
0.35635636,0.35303473,mean
0.35735736,0.35303473,mean
0.35835836,0.35303473,mean
0.35935936,0.35303473,mean
0.36036036,0.35303473,mean
0.36136136,0.35303473,mean
0.36236236,0.35303473,mean
0.36336336,0.35303473,mean
0.36436436,0.35303473,mean
0.36536537,0.35303473,mean
0.36636637,0.35303473,mean
0.36736737,0.35303473,mean
0.36836837,0.35303473,mean
0.36936937,0.35303473,mean
0.37037037,0.35303473,mean
0.37137137,0.35303473,mean
0.37237237,0.35303473,mean
0.37337337,0.35611166,mean
0.37437437,0.35611166,mean
0.37537538,0.35947300,mean
0.37637638,0.35947300,mean
0.37737738,0.35947300,mean
0.37837838,0.35947300,mean
0.37937938,0.35947300,mean
0.38038038,0.35947300,mean
0.38138138,0.36203710,mean
0.38238238,0.36203710,mean
0.38338338,0.36203710,mean
0.38438438,0.36203710,mean
0.38538539,0.36203710,mean
0.38638639,0.36203710,mean
0.38738739,0.37063925,mean
0.38838839,0.37063925,mean
0.38938939,0.37063925,mean
0.39039039,0.37063925,mean
0.39139139,0.37063925,mean
0.39239239,0.37063925,mean
0.39339339,0.37063925,mean
0.39439439,0.37063925,mean
0.39539540,0.37063925,mean
0.39639640,0.37063925,mean
0.39739740,0.37063925,mean
0.39839840,0.37063925,mean
0.39939940,0.37063925,mean
0.40040040,0.37063925,mean
0.40140140,0.37063925,mean
0.40240240,0.37063925,mean
0.40340340,0.37063925,mean
0.40440440,0.37063925,mean
0.40540541,0.37063925,mean
0.40640641,0.37063925,mean
0.40740741,0.37371618,mean
0.40840841,0.37371618,mean
0.40940941,0.37371618,mean
0.41041041,0.37371618,mean
0.41141141,0.37371618,mean
0.41241241,0.37371618,mean
0.41341341,0.37371618,mean
0.41441441,0.37371618,mean
0.41541542,0.37371618,mean
0.41641642,0.37371618,mean
0.41741742,0.37371618,mean
0.41841842,0.37371618,mean
0.41941942,0.38016779,mean
0.42042042,0.38016779,mean
0.42142142,0.38016779,mean
0.42242242,0.38016779,mean
0.42342342,0.38016779,mean
0.42442442,0.38016779,mean
0.42542543,0.38016779,mean
0.42642643,0.38016779,mean
0.42742743,0.38016779,mean
0.42842843,0.38016779,mean
0.42942943,0.39555240,mean
0.43043043,0.39555240,mean
0.43143143,0.39555240,mean
0.43243243,0.39555240,mean
0.43343343,0.39555240,mean
0.43443443,0.39555240,mean
0.43543544,0.39555240,mean
0.43643644,0.39555240,mean
0.43743744,0.39555240,mean
0.43843844,0.39555240,mean
0.43943944,0.39555240,mean
0.44044044,0.39555240,mean
0.44144144,0.39862933,mean
0.44244244,0.39862933,mean
0.44344344,0.39862933,mean
0.44444444,0.39862933,mean
0.44544545,0.39862933,mean
0.44644645,0.39862933,mean
0.44744745,0.39862933,mean
0.44844845,0.39862933,mean
0.44944945,0.39862933,mean
0.45045045,0.39862933,mean
0.45145145,0.39862933,mean
0.45245245,0.40077987,mean
0.45345345,0.40077987,mean
0.45445445,0.40077987,mean
0.45545546,0.40077987,mean
0.45645646,0.40077987,mean
0.45745746,0.40077987,mean
0.45845846,0.40077987,mean
0.45945946,0.40077987,mean
0.46046046,0.40077987,mean
0.46146146,0.40077987,mean
0.46246246,0.40077987,mean
0.46346346,0.40077987,mean
0.46446446,0.40077987,mean
0.46546547,0.40077987,mean
0.46646647,0.40077987,mean
0.46746747,0.40077987,mean
0.46846847,0.40077987,mean
0.46946947,0.40077987,mean
0.47047047,0.40077987,mean
0.47147147,0.40077987,mean
0.47247247,0.40077987,mean
0.47347347,0.40077987,mean
0.47447447,0.40077987,mean
0.47547548,0.40077987,mean
0.47647648,0.45462602,mean
0.47747748,0.45462602,mean
0.47847848,0.45462602,mean
0.47947948,0.45462602,mean
0.48048048,0.45462602,mean
0.48148148,0.45462602,mean
0.48248248,0.45462602,mean
0.48348348,0.45462602,mean
0.48448448,0.46107763,mean
0.48548549,0.46107763,mean
0.48648649,0.46107763,mean
0.48748749,0.46107763,mean
0.48848849,0.46107763,mean
0.48948949,0.46107763,mean
0.49049049,0.46107763,mean
0.49149149,0.46107763,mean
0.49249249,0.46723148,mean
0.49349349,0.46723148,mean
0.49449449,0.46723148,mean
0.49549550,0.46723148,mean
0.49649650,0.46723148,mean
0.49749750,0.46723148,mean
0.49849850,0.46723148,mean
0.49949950,0.46723148,mean
0.50050050,0.48274538,mean
0.50150150,0.48274538,mean
0.50250250,0.48274538,mean
0.50350350,0.48274538,mean
0.50450450,0.48274538,mean
0.50550551,0.48274538,mean
0.50650651,0.48274538,mean
0.50750751,0.48274538,mean
0.50850851,0.48582230,mean
0.50950951,0.48582230,mean
0.51051051,0.48582230,mean
0.51151151,0.48582230,mean
