PCoA1,PCoA2,Diet.5mo.as.AL,age.approx.months
 0.06757995, 0.00329206,1D,28
-0.01593698,-0.01726339,1D,28
-0.01201507,-0.01871106,1D,28
-0.07787323, 0.03058523,1D,28
 0.13325971,-0.04897914,1D,28
 0.07537379,-0.03490303,1D,28
 0.16554052,-0.07285555,1D,28
 0.23496372,-0.09963876,1D,28
-0.06539752, 0.09055207,1D,28
 0.31785016,-0.03731683,20,28
 0.09548213, 0.04853925,20,28
 0.22477242, 0.01677445,20,28
 0.11708926, 0.06169882,20,28
-0.13295257, 0.26321024,20,28
 0.05897936, 0.12513253,20,28
 0.32924852,-0.05974347,20,28
 0.15897193, 0.03015942,20,28
-0.12553925,-0.01743107,20,28
-0.00298612, 0.10598429,20,28
 0.03832450,-0.04764916,20,28
 0.21495362, 0.02886645,20,28
 0.08478835, 0.06050285,20,28
 0.17852128, 0.07141210,20,28
-0.14058638,-0.03341980,20,28
 0.13589477, 0.07735134,20,28
-0.07378449, 0.04737959,20,28
-0.08680539,-0.11285480,20,28
-0.07743744,-0.14485593,20,28
 0.32127777,-0.00269011,20,28
 0.01309174, 0.12004699,20,28
-0.10496209, 0.16462962,20,28
 0.29918198, 0.01535145,20,28
 0.35801784, 0.04112948,20,28
 0.27722803, 0.05518794,20,28
 0.07119655, 0.07093315,20,28
-0.01239472, 0.14741752,20,28
 0.21204334, 0.09030699,20,28
-0.01367726,-0.04348474,20,28
-0.21653790, 0.02104497,20,28
 0.15241731,-0.01008683,20,28
-0.24505085,-0.00032227,20,28
 0.16191818, 0.03296689,20,28
-0.07126564, 0.13451166,20,28
 0.01620798, 0.17166085,20,28
 0.06415187, 0.19248818,20,28
 0.35718407, 0.02394306,20,28
-0.18705550, 0.26321770,20,28
 0.00441791, 0.08182690,20,28
-0.15525206,-0.05794795,20,28
 0.39115930, 0.00906289,20,28
 0.08054008, 0.13101280,20,28
 0.14512581, 0.09745337,20,28
 0.37356808, 0.03676689,20,28
 0.18886229, 0.07031255,20,28
 0.02719284, 0.09499273,20,28
 0.24231170, 0.04962167,20,28
 0.28687051,-0.03104753,20,28
-0.04070669, 0.14254804,20,28
 0.31419036, 0.04705414,20,28
 0.23586285, 0.12792825,20,28
 0.26859634, 0.00963940,20,28
 0.22971308,-0.05109053,20,28
 0.10020592, 0.07338966,20,28
 0.26277332, 0.00528872,20,28
 0.14940702, 0.03264230,20,28
 0.12817041, 0.13583076,20,28
 0.11975886, 0.20378380,20,28
 0.06464211, 0.00812068,20,28
 0.35078547,-0.01196236,20,28
 0.00024455, 0.13490142,20,28
 0.10743756, 0.03926211,20,28
 0.30543633, 0.03778610,20,28
 0.19075493, 0.12212399,20,28
 0.08297822, 0.07738597,20,28
 0.24194854, 0.10363830,20,28
 0.13989580, 0.12136886,20,28
 0.09857523, 0.15154730,20,28
 0.23806963,-0.04603098,20,28
-0.00066577,-0.00464577,20,28
-0.07650458, 0.02716062,20,28
 0.23074975,-0.01073203,20,28
-0.08806207, 0.17406365,20,28
 0.02644276, 0.14033561,20,28
