Diet.5mo.as.AL,relab
1D,0.02184586
AL,0.02182949
AL,0.02177183
AL,0.02174456
AL,0.02157603
AL,0.02152193
40,0.02151793
40,0.02149206
2D,0.02148651
1D,0.02139400
1D,0.02133465
20,0.02126878
40,0.02114065
1D,0.02112088
1D,0.02107047
AL,0.02106891
AL,0.02106827
40,0.02106741
2D,0.02099091
2D,0.02090591
1D,0.02088662
40,0.02085405
40,0.02084843
2D,0.02075663
1D,0.02074472
AL,0.02073604
20,0.02071818
AL,0.02065284
AL,0.02060321
1D,0.02052194
1D,0.02049644
20,0.02040753
AL,0.02031583
40,0.02025922
40,0.02020938
20,0.02013417
2D,0.01999658
AL,0.01996675
1D,0.01990863
2D,0.01989121
AL,0.01982547
2D,0.01975307
2D,0.01974386
40,0.01972850
AL,0.01969334
AL,0.01966872
2D,0.01965765
AL,0.01964539
1D,0.01957876
2D,0.01950187
1D,0.01940668
20,0.01940457
1D,0.01936532
2D,0.01931625
AL,0.01931541
1D,0.01922528
AL,0.01921635
AL,0.01918825
20,0.01913192
1D,0.01908843
20,0.01904599
20,0.01904596
40,0.01901297
2D,0.01900065
2D,0.01891746
AL,0.01884595
AL,0.01880906
1D,0.01873036
1D,0.01869863
40,0.01866420
1D,0.01863695
40,0.01862441
40,0.01846918
AL,0.01845995
20,0.01844145
AL,0.01843996
40,0.01842638
2D,0.01842440
1D,0.01839155
20,0.01837950
20,0.01832912
2D,0.01831210
1D,0.01829298
1D,0.01811798
2D,0.01806470
40,0.01792148
40,0.01788450
2D,0.01786933
20,0.01786741
20,0.01781734
40,0.01780558
AL,0.01778361
2D,0.01774929
1D,0.01767625
1D,0.01759700
2D,0.01754928
20,0.01754389
2D,0.01753203
1D,0.01752806
2D,0.01750096
2D,0.01749589
AL,0.01749050
40,0.01742803
40,0.01728924
40,0.01718310
AL,0.01710999
2D,0.01710015
AL,0.01701695
AL,0.01697272
2D,0.01694005
20,0.01692051
40,0.01682198
2D,0.01677990
20,0.01674824
AL,0.01673058
1D,0.01666819
1D,0.01652638
2D,0.01651789
2D,0.01651647
20,0.01646484
1D,0.01632140
2D,0.01631055
40,0.01623864
2D,0.01623633
20,0.01623289
20,0.01623000
40,0.01617414
2D,0.01614345
AL,0.01611405
2D,0.01603949
1D,0.01594899
1D,0.01589113
AL,0.01588759
1D,0.01587185
2D,0.01584442
2D,0.01580052
20,0.01578120
2D,0.01577209
1D,0.01572537
2D,0.01570262
2D,0.01561318
20,0.01561236
2D,0.01558525
40,0.01558115
1D,0.01554120
AL,0.01550389
1D,0.01543969
1D,0.01542770
1D,0.01533456
1D,0.01531817
20,0.01530696
AL,0.01527961
2D,0.01522849
2D,0.01518728
1D,0.01518558
2D,0.01518510
2D,0.01512656
2D,0.01507828
40,0.01505588
2D,0.01504221
2D,0.01502545
2D,0.01499122
20,0.01487145
1D,0.01485608
20,0.01474861
40,0.01474776
20,0.01472603
AL,0.01465625
40,0.01460468
2D,0.01459594
AL,0.01454857
20,0.01453277
40,0.01449129
AL,0.01445236
2D,0.01444868
AL,0.01444456
20,0.01444003
1D,0.01442132
AL,0.01440181
40,0.01436846
2D,0.01432775
40,0.01426093
AL,0.01418114
20,0.01416233
40,0.01415893
20,0.01406133
AL,0.01399372
1D,0.01395620
AL,0.01393522
2D,0.01382844
20,0.01379437
20,0.01378798
40,0.01372253
AL,0.01371427
2D,0.01369524
1D,0.01369403
1D,0.01368431
40,0.01363253
2D,0.01351677
2D,0.01351544
2D,0.01346097
40,0.01344842
40,0.01341473
AL,0.01334937
20,0.01334131
2D,0.01330736
2D,0.01326952
40,0.01325421
2D,0.01324786
2D,0.01323295
1D,0.01319295
AL,0.01309723
1D,0.01308035
AL,0.01303698
AL,0.01299002
AL,0.01297824
40,0.01285692
2D,0.01278316
1D,0.01277359
2D,0.01276284
2D,0.01274730
AL,0.01273887
1D,0.01270983
AL,0.01267721
40,0.01260514
1D,0.01259547
AL,0.01258616
40,0.01248899
20,0.01245493
2D,0.01245444
2D,0.01244895
20,0.01241262
AL,0.01237524
1D,0.01233580
2D,0.01232622
1D,0.01232113
2D,0.01227883
20,0.01227830
2D,0.01223113
2D,0.01220017
AL,0.01219640
1D,0.01218175
2D,0.01215181
2D,0.01209794
20,0.01206768
20,0.01204907
2D,0.01197912
2D,0.01196337
1D,0.01196106
1D,0.01194511
AL,0.01193179
AL,0.01187818
1D,0.01185929
2D,0.01183645
AL,0.01180333
1D,0.01179628
1D,0.01179445
20,0.01178338
2D,0.01173181
1D,0.01171891
1D,0.01166628
20,0.01166319
20,0.01165746
2D,0.01163032
2D,0.01161881
AL,0.01161303
20,0.01159525
1D,0.01155654
20,0.01154042
2D,0.01152604
40,0.01150062
AL,0.01146101
1D,0.01141204
20,0.01137242
1D,0.01136472
2D,0.01133861
1D,0.01126787
AL,0.01119308
20,0.01118756
1D,0.01106648
