Diet.5mo.as.AL,log10relab
1D,-1.94874221
AL,-1.94954469
2D,-1.95114746
1D,-1.95383292
2D,-1.95463797
2D,-1.95561185
AL,-1.95723444
20,-1.95985132
AL,-1.96282844
AL,-1.96363405
1D,-1.96565163
1D,-1.96648384
2D,-1.96746936
2D,-1.96954599
1D,-1.97593550
1D,-1.97927594
AL,-1.98141711
2D,-1.98354247
2D,-1.98838271
1D,-1.99316981
AL,-1.99694443
2D,-1.99869905
2D,-2.00246474
1D,-2.00717001
40,-2.00831459
AL,-2.01044954
AL,-2.01191469
1D,-2.01357456
AL,-2.01572450
AL,-2.02037405
40,-2.02088641
20,-2.02233289
2D,-2.02292286
1D,-2.02445404
1D,-2.02523079
1D,-2.03681616
AL,-2.03826617
20,-2.03972642
20,-2.04050489
1D,-2.04205018
2D,-2.04258186
AL,-2.04982206
2D,-2.05524041
AL,-2.05526358
20,-2.06049884
2D,-2.06353777
2D,-2.06370976
AL,-2.06791996
1D,-2.06795574
2D,-2.08158144
1D,-2.08614242
2D,-2.09614676
AL,-2.09619312
AL,-2.09655802
1D,-2.09661624
1D,-2.09677389
40,-2.09713312
40,-2.10051737
40,-2.10182074
AL,-2.10298585
AL,-2.10475607
2D,-2.12933695
20,-2.13641968
40,-2.13934061
AL,-2.14209909
2D,-2.15249072
1D,-2.15703504
2D,-2.15963071
AL,-2.16165635
20,-2.16218643
20,-2.16393405
AL,-2.17372450
1D,-2.17465115
1D,-2.18281057
40,-2.19012726
2D,-2.19489404
20,-2.20063460
1D,-2.23165879
2D,-2.24363802
20,-2.24516297
2D,-2.24660542
2D,-2.26465185
1D,-2.29010039
1D,-2.30455421
20,-2.30767851
AL,-2.35540774
1D,-2.35829277
AL,-2.36296314
2D,-2.37823091
2D,-2.37999292
AL,-2.40441339
40,-2.42402615
1D,-2.42459815
AL,-2.44799029
2D,-2.44870305
1D,-2.55081448
2D,-2.57252626
1D,-2.59782516
20,-2.61027211
1D,-2.62238570
1D,-2.63752214
2D,-2.65907278
AL,-3.28747833
