Diet.5mo.as.AL,log10relab
AL,-0.65115276
40,-0.65199254
20,-0.65226215
1D,-0.65229619
AL,-0.65231843
40,-0.65234176
2D,-0.65258532
AL,-0.65260202
2D,-0.65267453
AL,-0.65349698
20,-0.65444367
20,-0.65487102
AL,-0.65506165
AL,-0.65537352
AL,-0.65570981
40,-0.65680765
AL,-0.65685633
40,-0.65881719
AL,-0.65891179
40,-0.65975220
AL,-0.65975290
1D,-0.66179889
20,-0.66445366
AL,-0.66461139
40,-0.66470691
20,-0.66501508
20,-0.66571521
AL,-0.66674110
20,-0.66677484
AL,-0.66687490
40,-0.66713113
1D,-0.66722403
40,-0.66851741
AL,-0.66906596
20,-0.67145950
AL,-0.67228640
40,-0.67237656
AL,-0.67258099
20,-0.67258140
AL,-0.67316868
AL,-0.67344995
AL,-0.67371298
1D,-0.67376112
1D,-0.67411556
AL,-0.67426540
1D,-0.67585727
AL,-0.67620431
40,-0.67721646
AL,-0.67769222
40,-0.67976038
AL,-0.68018942
1D,-0.68020933
20,-0.68021642
AL,-0.68059636
AL,-0.68068224
AL,-0.68095476
20,-0.68213803
20,-0.68290360
40,-0.68297179
AL,-0.68297337
1D,-0.68362721
1D,-0.68385767
2D,-0.68615757
40,-0.68651230
1D,-0.68714764
AL,-0.68781534
AL,-0.68806940
AL,-0.68829155
AL,-0.68837331
40,-0.68858651
2D,-0.68871790
40,-0.68892252
1D,-0.68906580
AL,-0.68939684
20,-0.69032885
40,-0.69128487
20,-0.69137742
40,-0.69145407
20,-0.69166459
2D,-0.69182086
AL,-0.69386837
AL,-0.69398140
AL,-0.69455511
AL,-0.69461863
2D,-0.69489207
2D,-0.69509299
1D,-0.69576765
2D,-0.69577899
AL,-0.69581768
1D,-0.69582883
20,-0.69728472
20,-0.69807999
AL,-0.69812819
AL,-0.69947134
AL,-0.69998642
2D,-0.70108516
AL,-0.70138836
AL,-0.70159902
40,-0.70163823
40,-0.70200858
40,-0.70205424
1D,-0.70252510
40,-0.70361056
20,-0.70375626
40,-0.70405413
20,-0.70512971
1D,-0.70525760
2D,-0.70572586
AL,-0.70599320
AL,-0.70692817
40,-0.70715274
40,-0.70764852
AL,-0.70793985
40,-0.70855334
40,-0.70887580
20,-0.70901779
20,-0.70936537
40,-0.70951737
AL,-0.70981235
1D,-0.70999802
1D,-0.71008569
1D,-0.71088162
1D,-0.71097978
2D,-0.71231656
40,-0.71231856
AL,-0.71233695
20,-0.71317264
20,-0.71360434
1D,-0.71408603
40,-0.71507964
AL,-0.71539858
AL,-0.71543992
40,-0.71601648
1D,-0.71655780
AL,-0.71704894
1D,-0.71739551
AL,-0.71930602
AL,-0.71959078
2D,-0.71959240
AL,-0.71987672
20,-0.72021932
AL,-0.72051076
20,-0.72100329
20,-0.72107968
2D,-0.72145372
AL,-0.72148555
AL,-0.72185204
40,-0.72207094
20,-0.72270461
AL,-0.72347905
20,-0.72394523
40,-0.72414132
20,-0.72445812
20,-0.72455570
20,-0.72506218
20,-0.72599613
2D,-0.72700465
40,-0.72700833
AL,-0.72731722
2D,-0.72735493
AL,-0.72786607
AL,-0.72826023
2D,-0.72966588
2D,-0.73134546
20,-0.73153747
1D,-0.73166352
1D,-0.73192231
AL,-0.73195926
20,-0.73221849
AL,-0.73223197
40,-0.73367777
40,-0.73369132
AL,-0.73490318
40,-0.73539301
40,-0.73628679
1D,-0.73654001
2D,-0.73656556
AL,-0.73678888
20,-0.73863243
40,-0.73927344
2D,-0.73958891
40,-0.73967573
AL,-0.73992277
AL,-0.74033239
1D,-0.74149309
AL,-0.74166507
AL,-0.74173972
40,-0.74341454
20,-0.74367488
AL,-0.74617946
1D,-0.74675711
1D,-0.74719762
40,-0.74726050
1D,-0.74748231
1D,-0.74770155
20,-0.74783657
1D,-0.74841714
2D,-0.74869415
AL,-0.74870046
40,-0.74870796
AL,-0.74879322
AL,-0.74896745
1D,-0.74915335
AL,-0.74958603
AL,-0.75014084
1D,-0.75042268
2D,-0.75161986
AL,-0.75169159
1D,-0.75207629
40,-0.75208951
20,-0.75220880
20,-0.75236291
1D,-0.75310453
AL,-0.75395243
40,-0.75538889
AL,-0.75564688
20,-0.75688865
AL,-0.75691709
AL,-0.75717863
2D,-0.75718127
AL,-0.75718274
20,-0.75832316
1D,-0.75853508
AL,-0.75857572
AL,-0.75938033
40,-0.75958957
2D,-0.76022425
1D,-0.76039758
AL,-0.76063808
1D,-0.76127707
40,-0.76177563
1D,-0.76212108
40,-0.76262453
20,-0.76263081
20,-0.76298626
1D,-0.76317824
1D,-0.76325040
20,-0.76363991
2D,-0.76374475
AL,-0.76395448
40,-0.76430973
1D,-0.76438875
2D,-0.76509007
1D,-0.76595278
AL,-0.76675120
1D,-0.76695781
40,-0.76697498
AL,-0.76732099
AL,-0.76862458
40,-0.76902032
20,-0.77015320
AL,-0.77094618
AL,-0.77118062
40,-0.77159540
20,-0.77184320
AL,-0.77305544
AL,-0.77337371
2D,-0.77363566
2D,-0.77394654
AL,-0.77421615
2D,-0.77432297
40,-0.77438865
40,-0.77470671
40,-0.77532322
2D,-0.77693330
AL,-0.77694942
1D,-0.77702946
20,-0.77712187
40,-0.77776296
40,-0.77777226
AL,-0.77809340
AL,-0.77818939
AL,-0.77823542
1D,-0.77854111
20,-0.77961089
AL,-0.77995990
40,-0.78037735
40,-0.78056949
1D,-0.78086945
20,-0.78119908
1D,-0.78128500
20,-0.78160850
AL,-0.78258828
40,-0.78266359
40,-0.78281232
40,-0.78284243
AL,-0.78319477
1D,-0.78330278
1D,-0.78343130
AL,-0.78381702
40,-0.78391357
AL,-0.78419856
20,-0.78529479
40,-0.78569074
AL,-0.78577660
1D,-0.78590151
AL,-0.78597019
40,-0.78634783
20,-0.78639603
2D,-0.78692627
40,-0.78723283
AL,-0.78730843
20,-0.78764085
20,-0.78764372
