actual.age.approx.months,pred.age.months,is.AL
27.880184,22.606504,TRUE
10.138249,13.180717,TRUE
15.898618,19.543311,TRUE
10.138249,16.069052,TRUE
15.898618,18.804241,TRUE
10.138249,14.694818,TRUE
15.898618,23.668368,TRUE
 4.608295, 7.556816,TRUE
10.138249,17.136307,TRUE
15.898618,20.010621,TRUE
22.119816,20.481603,TRUE
 4.608295,19.244758,TRUE
10.138249,17.236984,TRUE
15.898618,13.594856,TRUE
22.119816,23.728958,TRUE
 4.608295,10.755399,TRUE
10.138249,15.260666,TRUE
15.898618,17.950616,TRUE
22.119816,21.734852,TRUE
10.138249,20.249177,TRUE
15.898618,13.098674,TRUE
22.119816,21.130319,TRUE
27.880184,18.093899,TRUE
 4.608295,10.950302,TRUE
10.138249,17.796708,TRUE
15.898618,23.916886,TRUE
22.119816,19.113241,TRUE
27.880184,20.018549,TRUE
 4.608295,10.924332,TRUE
10.138249,11.579047,TRUE
27.880184,22.945530,TRUE
 4.608295, 7.421951,TRUE
10.138249,13.601652,TRUE
15.898618,17.253381,TRUE
22.119816,12.821792,TRUE
 4.608295, 9.445997,TRUE
10.138249,13.977158,TRUE
 4.608295,12.449804,TRUE
10.138249,15.709945,TRUE
 4.608295,10.171145,TRUE
10.138249,14.831499,TRUE
 4.608295, 9.234868,TRUE
10.138249,12.964331,TRUE
15.898618,12.226525,TRUE
22.119816,19.799071,TRUE
27.880184,20.738967,TRUE
 4.838710,11.784980,TRUE
15.898618,18.857628,TRUE
22.119816,18.483214,TRUE
15.898618,15.734041,TRUE
22.119816,20.491636,TRUE
27.649770,22.455713,TRUE
 4.838710,10.812360,TRUE
15.898618,22.573522,TRUE
10.138249,10.008781,TRUE
15.898618,14.059449,TRUE
22.119816,20.163094,TRUE
27.649770,22.692261,TRUE
 4.838710,12.854701,TRUE
10.138249,12.529088,TRUE
15.898618,20.013379,TRUE
22.119816,18.777528,TRUE
27.649770,23.351602,TRUE
10.138249, 8.803579,TRUE
15.898618,13.061977,TRUE
22.119816,27.064815,TRUE
27.649770,26.155117,TRUE
 4.838710,12.080242,TRUE
 4.838710,10.449167,TRUE
10.138249,11.676995,TRUE
15.898618,20.861502,TRUE
 4.838710,12.180644,TRUE
10.138249,11.635067,TRUE
15.898618,18.924752,TRUE
22.119816,19.009087,TRUE
27.649770,23.429687,TRUE
 4.838710,12.474368,TRUE
10.138249,13.437959,TRUE
22.119816,16.325118,TRUE
 4.838710, 9.059393,TRUE
 4.838710,11.680868,TRUE
10.138249, 8.554728,TRUE
15.898618,24.097499,TRUE
22.119816,19.380982,TRUE
27.649770,20.230394,TRUE
 4.838710,10.682171,TRUE
10.138249,10.967384,TRUE
 4.838710,10.065780,TRUE
10.138249,12.713134,TRUE
15.898618,14.276733,TRUE
22.119816,18.417589,TRUE
 4.838710, 9.699615,TRUE
10.138249,13.009665,TRUE
15.898618,19.540182,TRUE
22.119816,14.754012,TRUE
27.649770,21.132595,TRUE
 4.838710,14.955387,TRUE
 4.838710,11.686477,TRUE
10.138249,14.802553,TRUE
15.898618,15.847813,TRUE
 4.838710,10.800996,TRUE
15.898618,14.210710,TRUE
22.119816,12.594676,TRUE
 4.838710,10.916568,TRUE
10.138249,14.794805,TRUE
15.898618,22.681659,TRUE
 4.838710,12.830027,TRUE
10.138249,17.091394,TRUE
15.898618,13.758563,TRUE
27.880184,16.405446,TRUE
 4.838710,14.116681,TRUE
10.138249,12.720569,TRUE
15.898618,18.435694,TRUE
22.119816,19.204897,TRUE
 4.838710,16.261501,TRUE
 4.838710,12.884230,TRUE
10.138249,11.791054,TRUE
27.880184,14.889545,TRUE
 4.838710,12.300262,TRUE
10.138249,12.595316,TRUE
15.898618,13.987216,TRUE
 4.838710,21.187611,TRUE
15.898618,17.329749,TRUE
10.138249,13.897737,TRUE
15.898618,14.467368,TRUE
22.119816,15.555300,TRUE
 4.838710,10.479861,TRUE
10.138249,10.586626,TRUE
15.898618,14.720271,TRUE
22.119816,18.564520,TRUE
27.880184,21.900922,TRUE
10.138249,10.797235,TRUE
15.898618,11.313278,TRUE
10.138249,10.932751,TRUE
15.898618,13.535357,TRUE
27.880184,16.429049,TRUE
 4.838710,10.890503,TRUE
10.138249, 7.885808,TRUE
15.898618,14.014784,TRUE
27.880184,18.021833,TRUE
10.138249,14.653070,TRUE
15.898618,13.472999,TRUE
 4.838710, 8.566795,TRUE
10.138249,11.801098,TRUE
