actual.age.approx.months,pred.age.months,is.AL
 9.907834, 9.174949,TRUE
15.898618,17.512101,TRUE
22.350230,19.715241,TRUE
 9.907834, 8.819986,TRUE
15.898618,18.288097,TRUE
22.350230,21.079735,TRUE
27.880184,19.122073,TRUE
 9.907834,10.996573,TRUE
15.898618,17.558309,TRUE
 9.907834, 7.905659,TRUE
15.898618,16.949231,TRUE
22.350230,23.558932,TRUE
27.880184,23.647571,TRUE
 9.907834,10.470430,TRUE
15.898618,16.621374,TRUE
15.898618,16.665313,TRUE
 5.299539, 7.444146,TRUE
15.898618,10.763003,TRUE
22.119816,24.555278,TRUE
27.880184,23.537280,TRUE
 5.299539, 7.485781,TRUE
 5.299539, 7.075139,TRUE
15.898618, 9.127584,TRUE
15.898618,10.724444,TRUE
22.119816,18.008754,TRUE
15.898618,12.341972,TRUE
22.119816,23.744504,TRUE
 5.299539, 9.392601,TRUE
15.898618, 8.887518,TRUE
 5.299539, 7.273810,TRUE
15.898618,11.928430,TRUE
 5.299539, 8.564546,TRUE
15.898618, 8.114678,TRUE
22.119816,24.242798,TRUE
10.138249, 8.996340,TRUE
15.898618, 9.475490,TRUE
22.119816,20.818650,TRUE
10.138249, 9.569444,TRUE
15.898618,11.597411,TRUE
22.119816,23.108107,TRUE
15.898618,10.908552,TRUE
22.119816,21.346787,TRUE
27.880184,20.799352,TRUE
 5.299539, 7.708867,TRUE
10.138249, 8.812130,TRUE
 5.299539, 9.250616,TRUE
10.138249,10.177773,TRUE
15.898618,13.158092,TRUE
22.119816,21.442850,TRUE
27.880184,21.029207,TRUE
 5.299539, 9.520993,TRUE
10.138249, 9.587648,TRUE
15.898618,11.791444,TRUE
22.119816,18.377239,TRUE
 5.299539, 9.361393,TRUE
10.138249, 8.273662,TRUE
15.898618,13.663512,TRUE
22.119816,20.799475,TRUE
27.880184,21.185912,TRUE
 5.299539, 7.445668,TRUE
10.138249, 9.962998,TRUE
15.898618,12.009891,TRUE
22.119816,22.208626,TRUE
 4.608295, 8.795039,TRUE
10.138249, 8.188117,TRUE
15.898618,17.492572,TRUE
 4.608295, 6.823234,TRUE
15.898618,17.292736,TRUE
27.880184,22.174743,TRUE
 4.608295, 6.458478,TRUE
10.138249, 6.312139,TRUE
15.898618,18.353464,TRUE
22.119816,21.525704,TRUE
27.880184,19.865611,TRUE
 4.608295, 6.807293,TRUE
15.898618,15.366795,TRUE
22.119816,20.797371,TRUE
27.880184,21.101075,TRUE
 4.608295, 7.850051,TRUE
10.138249, 8.213823,TRUE
15.898618,17.207593,TRUE
22.119816,20.793239,TRUE
27.880184,18.071482,TRUE
 4.608295, 8.230965,TRUE
22.119816,22.561634,TRUE
 4.608295, 8.270425,TRUE
22.119816,17.134779,TRUE
 4.608295, 7.643150,TRUE
15.898618,17.186580,TRUE
22.119816,18.371145,TRUE
10.138249, 8.111753,TRUE
15.898618,13.977421,TRUE
22.119816,18.810631,TRUE
 4.608295,10.479280,TRUE
22.119816,20.389426,TRUE
 4.608295, 9.097728,TRUE
10.138249, 9.438204,TRUE
 4.608295, 6.127184,TRUE
15.898618,20.690974,TRUE
22.119816,21.458853,TRUE
27.880184,22.262563,TRUE
