Diet.5mo.as.AL,log10relab
40,-1.62681859
40,-1.62742548
40,-1.62856920
40,-1.63286657
AL,-1.63486701
20,-1.63498440
40,-1.64184409
20,-1.64941494
2D,-1.64993134
40,-1.65288696
AL,-1.65704912
40,-1.65743434
40,-1.66061184
40,-1.66112967
40,-1.66186292
2D,-1.66282757
20,-1.66429127
40,-1.66471301
2D,-1.66824322
20,-1.67131102
40,-1.67231957
1D,-1.67358989
40,-1.67528237
AL,-1.67929184
40,-1.68145381
40,-1.68605503
AL,-1.69180621
40,-1.69853850
20,-1.70352651
40,-1.70519862
20,-1.70681280
1D,-1.71567374
1D,-1.72114240
20,-1.72419569
40,-1.72520614
40,-1.72697881
40,-1.72707789
40,-1.73271142
20,-1.73787022
40,-1.74104935
40,-1.74507255
40,-1.74532026
20,-1.74553622
40,-1.75007365
AL,-1.75355869
40,-1.75458946
1D,-1.75958024
40,-1.76499772
40,-1.77197444
40,-1.78068493
40,-1.78679620
40,-1.78810543
40,-1.79027857
40,-1.79554290
1D,-1.80267769
40,-1.80385854
40,-1.81811701
40,-1.82033937
40,-1.82876038
40,-1.82981459
AL,-1.83116853
40,-1.83867009
2D,-1.83901896
20,-1.84354894
20,-1.85300691
2D,-1.86268124
40,-1.87430135
AL,-1.87553049
40,-1.88530100
20,-1.88957883
40,-1.90446221
40,-1.90640686
40,-1.90883890
40,-1.90912236
1D,-1.91868587
20,-1.92699854
20,-1.92711744
40,-1.96219210
40,-1.96312758
AL,-1.99257078
40,-2.01098037
AL,-2.03255949
20,-2.03357979
40,-2.04833182
40,-2.07754731
AL,-2.10245404
2D,-2.14006916
1D,-2.18224197
40,-2.18663223
2D,-2.21251752
2D,-2.23438871
2D,-2.27853703
40,-2.28120218
20,-2.29291217
20,-2.31692745
40,-2.33917753
AL,-2.34593010
1D,-2.34902389
40,-2.37461153
2D,-2.37975502
2D,-2.42496866
2D,-2.43312626
1D,-2.49966650
40,-2.54301503
20,-2.59265376
2D,-2.66902585
