Diet.5mo.as.AL,log10relab
20,-0.47599547
1D,-0.47615919
AL,-0.47644801
20,-0.47650476
40,-0.47695170
AL,-0.47697627
1D,-0.47729296
AL,-0.47759068
AL,-0.47970431
AL,-0.48038313
AL,-0.48045872
2D,-0.48057865
AL,-0.48076854
2D,-0.48098741
1D,-0.48143309
1D,-0.48151102
2D,-0.48179617
20,-0.48234724
AL,-0.48319539
2D,-0.48444425
AL,-0.48477115
1D,-0.48539137
AL,-0.48578358
AL,-0.48597125
1D,-0.48631534
AL,-0.48720188
AL,-0.48723214
2D,-0.48759938
AL,-0.48768123
2D,-0.48776670
20,-0.48810238
1D,-0.48871584
2D,-0.48921819
20,-0.49032664
2D,-0.49070463
2D,-0.49098463
AL,-0.49147732
2D,-0.49199893
AL,-0.49211692
2D,-0.49225071
20,-0.49248304
2D,-0.49259200
2D,-0.49302886
AL,-0.49303348
AL,-0.49323639
AL,-0.49351276
1D,-0.49379123
AL,-0.49388498
2D,-0.49391583
AL,-0.49392159
2D,-0.49406532
2D,-0.49459388
AL,-0.49565121
40,-0.49590196
AL,-0.49604806
20,-0.49643364
1D,-0.49673975
2D,-0.49681123
AL,-0.49753393
1D,-0.49881175
AL,-0.50002931
AL,-0.50003618
1D,-0.50027380
1D,-0.50050932
AL,-0.50140161
20,-0.50215476
2D,-0.50256803
AL,-0.50329981
AL,-0.50331380
2D,-0.50344532
AL,-0.50382101
AL,-0.50426397
2D,-0.50439468
40,-0.50477800
20,-0.50506952
AL,-0.50511177
20,-0.50515299
20,-0.50544106
2D,-0.50599032
2D,-0.50621068
20,-0.50640898
2D,-0.50656396
40,-0.50680937
20,-0.50687617
2D,-0.50767634
1D,-0.50770711
AL,-0.50847444
AL,-0.50869877
2D,-0.50883117
2D,-0.50918801
40,-0.50946021
20,-0.50947794
AL,-0.51003346
AL,-0.51014288
2D,-0.51015964
20,-0.51037490
20,-0.51067762
1D,-0.51081422
2D,-0.51090964
20,-0.51123303
1D,-0.51127715
40,-0.51192553
AL,-0.51200942
AL,-0.51229599
40,-0.51233309
AL,-0.51243527
AL,-0.51265710
AL,-0.51286333
1D,-0.51342016
1D,-0.51343261
AL,-0.51381082
AL,-0.51398143
2D,-0.51409366
1D,-0.51439084
40,-0.51502268
1D,-0.51594566
1D,-0.51603448
1D,-0.51651747
1D,-0.51679080
20,-0.51741241
2D,-0.51753418
AL,-0.51830597
20,-0.51866570
AL,-0.51902141
2D,-0.51936692
AL,-0.51967669
AL,-0.51971034
1D,-0.51984954
AL,-0.52013671
1D,-0.52013679
AL,-0.52070260
1D,-0.52093825
20,-0.52129415
1D,-0.52392068
2D,-0.52431556
AL,-0.52456515
AL,-0.52474179
AL,-0.52485219
1D,-0.52577302
AL,-0.52583699
AL,-0.52657270
1D,-0.52725015
AL,-0.52756575
1D,-0.52857751
AL,-0.52859639
1D,-0.52863779
20,-0.52884953
2D,-0.52895190
2D,-0.52998320
AL,-0.53051913
2D,-0.53086986
2D,-0.53093622
AL,-0.53104410
AL,-0.53119687
1D,-0.53155409
40,-0.53180628
AL,-0.53214574
1D,-0.53231516
AL,-0.53235619
20,-0.53415415
20,-0.53431223
20,-0.53443246
1D,-0.53525626
20,-0.53538994
20,-0.53549250
1D,-0.53586091
AL,-0.53595619
20,-0.53654029
1D,-0.53672088
2D,-0.53730308
AL,-0.53742370
2D,-0.53757379
AL,-0.53766602
2D,-0.53770717
20,-0.53885509
AL,-0.53936816
20,-0.53947476
2D,-0.53980902
AL,-0.54005009
2D,-0.54022710
AL,-0.54060879
20,-0.54073864
AL,-0.54247936
2D,-0.54299264
AL,-0.54319783
2D,-0.54327706
AL,-0.54349269
20,-0.54416580
2D,-0.54476381
2D,-0.54486818
2D,-0.54518726
20,-0.54569771
1D,-0.54610791
AL,-0.54629789
2D,-0.54745668
2D,-0.54954780
2D,-0.54978735
AL,-0.55055927
1D,-0.55092834
AL,-0.55094424
1D,-0.55106410
AL,-0.55129634
20,-0.55150423
1D,-0.55151642
2D,-0.55162648
AL,-0.55195626
2D,-0.55309103
1D,-0.55392629
AL,-0.55444936
AL,-0.55522886
1D,-0.55561611
40,-0.55587445
AL,-0.55718340
1D,-0.55737265
40,-0.55737415
1D,-0.55756901
1D,-0.55802062
AL,-0.55889508
