taxon.ID	phylum	class	order	family	genus	species
128	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	MGBC000219
129	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	MGBC000220
130	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	epidermidis
131	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovoracaceae_NOV	MGBC000227
134	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Granulicatella	adiacens
135	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	MGBC000243
136	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	
137	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	aldenensis
138	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC000269
139	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	MGBC000275
140	Actinobacteriota	Actinomycetia				
143	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
144	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
150	Verrucomicrobiota_A	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	muridarum
151	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae		
152	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	ASF356	
153	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	ASF356	sp000364165
154	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	sp000364245
158	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae		
160	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_A	bilis
161	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron
162	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	
163	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	vulgatus
164	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	caecimuris
166	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae		
168	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_A	barengoltzii
169	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	sp000403435
170	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	sp000403845
171	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	sp000492175
173	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_A	oxytoca
174	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
175	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	rodentium
176	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
177	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	plautii
182	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	
183	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila
185	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae		
187	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Turicimonas	muris
188	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		
190	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis
191	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
192	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	MGBC000370
193	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	muris
194	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
195	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	
196	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	intestinale
197	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri
198	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	
199	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	sp004792655
200	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	sp004793545
202	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	sp004793585
